ticker,year,value,source,source_url,retrieved,note
A,2025,0.0,SEC 10-K Human Capital disclosures,https://www.sec.gov/Archives/edgar/data/1090872/000109087225000087/a-20251031.htm,2026-09-13,"employees 18,100 (2022) -> 18,100 (2025), 3y CAGR. 2025 quote: ""ough direct sales, but we also utilize distributors, resellers, manufacturers' representatives and electronic commerce. As of October 31, 2025, we employed approximately 18,100 people worldwide. Our primary resear"" | 2022 quote: ""ough direct sales, but we also utilize distributors, resellers, manufacturers' representatives and electronic commerce. As of October 31, 2022, we employed approximately 18,100 people worldwide. Our primary resear"""
AAPL,2025,0.004,SEC 10-K Human Capital disclosures,https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/aapl-20250927.htm,2026-09-13,"employees 164,000 (2022) -> 166,000 (2025), 3y CAGR. 2025 quote: ""an equal opportunity employer committed to inclusion and to providing a workplace free of harassment or discrimination. As of September 27, 2025, the Company had approximately 166,000 full-time equivalent employees. The Company believes that co"" | 2022 quote: ""ated and dedicated team, and works to create an inclusive, safe and supportive environment for all of its team members. As of September 24, 2022, the Company had approximately 164,000 full-time equivalent employees. Workplace Practices and Poli"""
ABBV,2025,0.0446,SEC 10-K Human Capital disclosures,https://www.sec.gov/Archives/edgar/data/1551152/000155115226000008/abbv-20251231.htm,2026-09-13,"employees 50,000 (2022) -> 57,000 (2025), 3y CAGR. 2025 quote: ""e a material adverse effect on the company's financial position, cash flows, or results of operations. Employees AbbVie employed approximately 57,000 employees in over 70 countries as of De"" | 2022 quote: ""e a material adverse effect on the company's financial position, cash flows, or results of operations. Employees AbbVie employed approximately 50,000 employees in over 70 countries as of Ja"""
ABNB,2025,0.0638,SEC 10-K Human Capital disclosures,https://www.sec.gov/Archives/edgar/data/1559720/000155972026000004/abnb-20251231.htm,2026-09-13,"employees 6,811 (2022) -> 8,200 (2025), 3y CAGR. 2025 quote: ""r Human Capital We consider the management of our global talent to be essential to the ongoing success of our business. As of December 31, 2025, we had approximately 8,200 employees. Consistent with prior years,"" | 2022 quote: "". Human Capital We consider the management of our global talent to be essential to the ongoing success of our business. As of December 31, 2022, we had 6,811 employees. 4 Table of Contents As of De"""
ABT,2025,0.0,SEC 10-K Human Capital disclosures,https://www.sec.gov/Archives/edgar/data/1800/000162828026010185/abt-20251231.htm,2026-09-13,"employees 115,000 (2022) -> 115,000 (2025), 3y CAGR. 2025 quote: ""grams, and the satisfaction of being part of a global company dedicated to improving health in more than 160 countries. As of December 31, 2025, Abbott employed approximately 115,000 people, 69% of whom were employed ou"" | 2022 quote: ""grams, and the satisfaction of being part of a global company dedicated to improving health in more than 160 countries. As of December 31, 2022, Abbott employed approximately 115,000 people, 69% of whom were employed ou"""
ACGL,2025,0.1132,SEC 10-K Human Capital disclosures,https://www.sec.gov/Archives/edgar/data/947484/000094748426000017/acgl-20251231.htm,2026-09-13,"employees 5,800 (2022) -> 8,000 (2025), 3y CAGR. 2025 quote: ""r strategy of delivering specialty products and innovative solutions to our customers in each of our business segments. As of February 19, 2026, we had approximately 8,000 employees globally, compared to around"" | 2022 quote: ""r strategy of delivering specialty products and innovative solutions to our customers in each of our business segments. As of February 1, 2023, we had just over 5,800 employees globally, compared to around"""
ACN,2025,0.0261,SEC 10-K Human Capital disclosures,https://www.sec.gov/Archives/edgar/data/1467373/000146737325000217/acn-20250831.htm,2026-09-13,"employees 721,000 (2022) -> 779,000 (2025), 3y CAGR. 2025 quote: ""ith more than 9,000 clients, including the world s largest companies; three quarters of the Fortune Global 100 and 500. As of August 31, 2025, we employed approximately 779,000 people. We have long-term relationsh"" | 2022 quote: ""o manage the organizational challenges associated with our size, we might be unable to achieve our business objectives. As of August 31, 2022, we had more than 721,000 employees worldwide. Our size and scale"""
ADBE,2025,0.0236,SEC 10-K Human Capital disclosures,https://www.sec.gov/Archives/edgar/data/796343/000079634326000003/adbe-20251128.htm,2026-09-13,"employees 29,239 (2022) -> 31,360 (2025), 3y CAGR. 2025 quote: ""air and market-competitive pay and benefits to support our employees wellbeing and foster their growth and development. As of November 28, 2025, we employed 31,360 people, of which 50% were in the Uni"" | 2022 quote: ""ir and market-competitive pay and benefits to support our employees wellbeing, and foster their growth and development. As of December 2, 2022, we employed 29,239 people, of which 51% were in the Uni"""
ADI,2025,0.0007,SEC 10-K Human Capital disclosures,https://www.sec.gov/Archives/edgar/data/6281/000000628125000153/adi-20251101.htm,2026-09-13,"employees 24,450 (2022) -> 24,500 (2025), 3y CAGR. 2025 quote: ""atives we have launched to drive continuous improvements across inclusion, opportunity for all and equitable practices. As of November 1, 2025, we had approximately 24,500 employees, of whom approximately 13,000"" | 2022 quote: ""n overview of some of the initiatives we have launched to drive continuous improvements across diversity and inclusion. As of October 29, 2022, we had approximately 24,450 employees, of whom approximately 11,400"""
ADSK,2026,0.0375,SEC 10-K Human Capital disclosures,https://www.sec.gov/Archives/edgar/data/769397/000076939726000015/adsk-20260131.htm,2026-09-13,"employees 13,700 (2023) -> 15,300 (2026), 3y CAGR. 2026 quote: ""needs, expectations, and experiences. As of January 31, 2026, we employed approximately 14,300 people, a decrease from approximately 15,300 employees as of the end of fiscal year 2025."" | 2023 quote: ""company, where each employee takes responsibility for understanding our customers needs, expectations, and experiences. As of January 31, 2023, we employed approximately 13,700 people, an increase from approximate"""
AEP,2025,0.0118,SEC 10-K Human Capital disclosures,https://www.sec.gov/Archives/edgar/data/4904/000000490426000013/aep-20251231.htm,2026-09-13,"employees 16,974 (2022) -> 17,581 (2025), 3y CAGR. 2025 quote: ""formation systems, engineering, financial, legal, maintenance and other services at cost from a common provider, AEPSC. As of December 31, 2025, the subsidiaries of AEP had a total of 17,581 employees. As a holding company rather"" | 2022 quote: ""formation systems, engineering, financial, legal, maintenance and other services at cost from a common provider, AEPSC. As of December 31, 2022, the subsidiaries of AEP had a total of 16,974 employees. Because it is a holding comp"""
AES,2025,-0.0288,SEC 10-K Human Capital disclosures,https://www.sec.gov/Archives/edgar/data/874761/000087476126000063/aes-20251231.htm,2026-09-13,"employees 9,100 (2022) -> 8,336 (2025), 3y CAGR. 2025 quote: ""for AES people are guided by the Chief Human Resources Officer, with input from members of the Global Leadership Team. As of December 31, 2025, the Company and its subsidiaries had 8,336 full time/permanent employees. As of December 31, 2025, app"" | 2022 quote: ""ur Chief Executive Officer and the Executive Leadership Team with the guidance and oversight of our Board of Directors. As of December 31, 2022, the Company and its subsidiaries had approximately 9,100 full time/permanent employees. The following chart lists ou"""
AIG,2025,-0.0551,SEC 10-K Human Capital disclosures,https://www.sec.gov/Archives/edgar/data/5272/000000527226000023/aig-20251231.htm,2026-09-13,"employees 26,200 (2022) -> 22,100 (2025), 3y CAGR. 2025 quote: ""human capital management initiatives and metrics, including succession planning for key roles. At December 31, 2025, we had approximately 22,100 employees based in approximately 45 cou"" | 2022 quote: ""and fostering an inclusive environment in which we actively seek and embrace diverse thinking. At December 31, 2022, we had approximately 26,200 employees based in approximately 50 cou"""
AIZ,2025,0.0261,SEC 10-K Human Capital disclosures,https://www.sec.gov/Archives/edgar/data/1267238/000126723826000010/aiz-20251231.htm,2026-09-13,"employees 13,700 (2022) -> 14,800 (2025), 3y CAGR. 2025 quote: ""and engagement, while continuously enhancing the experience of our employees who are critical to our long-term success. As of December 31, 2025, Assurant had approximately 14,800 employees, representing more than 80 na"" | 2022 quote: ""and engagement, while continuously enhancing the experience of our employees who are critical to our long-term success. As of December 31, 2022, Assurant had approximately 13,700 employees in 21 countries. Our diverse"""
AJG,2025,0.1784,SEC 10-K Human Capital disclosures,https://www.sec.gov/Archives/edgar/data/354190/000162828026008662/ajg-20251231.htm,2026-09-13,"employees 44,000 (2022) -> 72,000 (2025), 3y CAGR. 2025 quote: ""presented approximately 3%, respectively, of our combined brokerage and risk management segment revenues. Human Capital As of December 31, 2025, we had approximately 72,000 employees, with approximately 47% in th"" | 2022 quote: ""a hybrid work environment. We have instituted safety protocols and procedures for employees when they are in an office. As of December 31, 2022, we had approximately 44,000 employees, with approximately 45% in th"""
AKAM,2025,0.0393,SEC 10-K Human Capital disclosures,https://www.sec.gov/Archives/edgar/data/1086222/000108622226000022/akam-20251231.htm,2026-09-13,"employees 9,800 (2022) -> 11,000 (2025), 3y CAGR. 2025 quote: ""ectors as well as its Talent, Leadership and Compensation Committee and Environmental, Social and Governance Committee. As of December 31, 2025, we had over 11,000 employees located in more than 30 count"" | 2022 quote: ""f directors as well as its Talent, Leadership &amp; Compensation and Environmental, Social &amp; Governance Committees. As of December 31, 2022, we had over 9,800 employees located in more than 30 count"""
ALB,2025,0.0177,SEC 10-K Human Capital disclosures,https://www.sec.gov/Archives/edgar/data/915913/000091591326000018/alb-20251231.htm,2026-09-13,"employees 7,400 (2022) -> 7,800 (2025), 3y CAGR. 2025 quote: ""fosters good decision-making practices, and promotes employee engagement and high productivity across our organization. As of December 31, 2025, we had approximately 7,800 employees, including employees of our c"" | 2022 quote: ""fosters good decision making practices, and promotes employee engagement and high productivity across our organization. As of December 31, 2022, we had approximately 7,400 employees, including employees of our c"""
