ticker,year,value,source,source_url,retrieved,note
A,2025,82873.0,"SEC EDGAR DEF 14A (pay ratio disclosure, Item 402(u))",https://www.sec.gov/Archives/edgar/data/1090872/000119312526040286/a-20260203.htm,2026-09-13,"DEF 14A filed 2026-02-06; median pay reconciles with the stated pay ratio 155:1 (ratio x median = $12,845,315 found in the proxy); quote: ""ified the median employee, the annual total compensation was then calculated according to the SEC's rules for the Summary Compensation Table. The annual total compensation of our median employee for fiscal year 2025 was $82,873. As disclosed in our Summary Compensati"""
AAPL,2025,139483.0,"SEC EDGAR DEF 14A (pay ratio disclosure, Item 402(u))",https://www.sec.gov/Archives/edgar/data/320193/000130817926000008/aapl014016-def14a.htm,2026-09-13,"DEF 14A filed 2026-01-08; median pay reconciles with the stated pay ratio 533:1 (ratio x median = $74,344,439 found in the proxy); quote: ""pensation in the table entitled “Summary Compensation Table-2025, 2024, and 2023.” The 2025 annual total compensation of our CEO was $74,294,811, the 2025 annual total compensation of our median compensated employee was $139,483, and the ratio of these amounts is 533"""
ABBV,2025,169019.0,"SEC EDGAR DEF 14A (pay ratio disclosure, Item 402(u))",https://www.sec.gov/Archives/edgar/data/1551152/000110465926033387/abbv-20260508xdef14a.htm,2026-09-13,"DEF 14A filed 2026-03-23; median pay reconciles with the stated pay ratio 192:1 (ratio x median = $32,451,648 found in the proxy); quote: ""nsation Table of this proxy statement, to the median employee annual total compensation determined on the same basis was 192:1. For 2025, the annual total compensation of our median employee (other than Mr. Michael) was $169,019. To identify the median employee, we pr"""
ABT,2025,145528.0,"SEC EDGAR DEF 14A (pay ratio disclosure, Item 402(u))",https://www.sec.gov/Archives/edgar/data/1800/000130817926000064/abt-20260311.htm,2026-09-13,"DEF 14A filed 2026-03-13; median pay reconciles with the stated pay ratio 166:1 (ratio x median = $24,157,648 found in the proxy); quote: ""Table on page 55 and then added the cost of medical and dental benefits ($16,795) in the calculation of annual total compensation for the median employee and CEO. The annual total compensation of our median employee was $145,528, resulting in a ratio of 166:1. The abo"""
ACGL,2025,132527.0,"SEC EDGAR DEF 14A (pay ratio disclosure, Item 402(u))",https://www.sec.gov/Archives/edgar/data/947484/000094748426000038/acgl-20260324.htm,2026-09-13,"DEF 14A filed 2026-03-24; median pay reconciles with the stated pay ratio 105:1 (ratio x median = $13,915,335 found in the proxy); quote: ""“2025 Summary Compensation Table,” and then added the estimated value of the median employee's health plan benefits. Based on the foregoing, the annual total compensation calculated for the median employee for 2025 was $132,527 . For purposes of the pay ratio rule, t"""
ACN,2025,64379.0,"SEC EDGAR DEF 14A (pay ratio disclosure, Item 402(u))",https://www.sec.gov/Archives/edgar/data/1467373/000130817925000651/acn-20251210.htm,2026-09-13,"DEF 14A filed 2025-12-12; median pay reconciles with the stated pay ratio 460:1 (ratio x median = $29,614,340 found in the proxy); quote: ""xy Statement Table of Contents Executive Compensation Our Fiscal 2025 Pay Ratio Applying a cost-of-living adjustment, our identified median employee is located in India, with annual total compensation for fiscal 2025 of $64,379. Comparing this to the annual total com"""
ADBE,2025,235989.0,"SEC EDGAR DEF 14A (pay ratio disclosure, Item 402(u))",https://www.sec.gov/Archives/edgar/data/796343/000079634326000043/adbe-20260227.htm,2026-09-13,"DEF 14A filed 2026-02-27; median pay reconciles with the stated pay ratio 217:1 (ratio x median = $51,209,613 found in the proxy); quote: ""nt and Mr. Wadhwani would not receive a severance payment. CEO Pay Ratio The fiscal year 2025 annual total compensation of our CEO was $51,173,935 and the annual total compensation of our median compensated employee was $235,989, based on the methodology presented in"""
ADI,2025,51411.0,"SEC EDGAR DEF 14A (pay ratio disclosure, Item 402(u))",https://www.sec.gov/Archives/edgar/data/6281/000000628126000010/adi-20260122.htm,2026-09-13,"DEF 14A filed 2026-01-23; median pay reconciles with the stated pay ratio 534:1 (ratio x median = $27,453,474 found in the proxy); quote: ""te that we utilize in our accounting system, as of our fiscal year end (November 1, 2025), to convert foreign currency to U.S. dollars. For fiscal year 2025, the annual total compensation of the same median employee was $51,411. The annual total compensation of our C"""
ADM,2025,85460.0,"SEC EDGAR DEF 14A (pay ratio disclosure, Item 402(u))",https://www.sec.gov/Archives/edgar/data/7084/000119312526126218/d911479ddef14a.htm,2026-09-13,"DEF 14A filed 2026-03-26; median pay reconciles with the stated pay ratio 280:1 (ratio x median = $23,928,800 found in the proxy); quote: ""ses over three years ago. Therefore, we completed a review of our global employee population as detailed below to determine a new median employee. Our median employee's annual total compensation for fiscal year 2025 was $85,460. The annual total compensation of our B"""
ADP,2025,67434.0,"SEC EDGAR DEF 14A (pay ratio disclosure, Item 402(u))",https://www.sec.gov/Archives/edgar/data/8670/000130817925000607/adp014341-def14a.htm,2026-09-13,"DEF 14A filed 2025-09-25; median pay reconciles with the stated pay ratio 284:1 (ratio x median = $19,151,256 found in the proxy); quote: ""rkforce (not including Ms. Black). For fiscal year 2025, an estimate of this ratio is 284:1, and is based on Ms. Black's 2025 Summary Compensation Table total of $19,137,192 and the 2025 total of our median associate of $67,434. To arrive at the ratio and calculate t"""
ADSK,2026,147841.0,"SEC EDGAR DEF 14A (pay ratio disclosure, Item 402(u))",https://www.sec.gov/Archives/edgar/data/769397/000076939726000030/adsk-20260429.htm,2026-09-13,"DEF 14A filed 2026-05-06; median pay reconciles with the stated pay ratio 203.5:1 (ratio x median = $30,085,644 found in the proxy); quote: ""l compensation of our median employee (excluding our CEO). The fiscal year 2026 annual total compensation of our CEO was $30,091,165. The fiscal year 2026 annual total compensation of our median compensated employee was $147,841, and the ratio of these amounts was 203"""
AEE,2025,125070.0,"SEC EDGAR DEF 14A (pay ratio disclosure, Item 402(u))",https://www.sec.gov/Archives/edgar/data/1002910/000110465926037756/tm261401-1_def14a.htm,2026-09-13,"DEF 14A filed 2026-03-31; median pay reconciles with the stated pay ratio 112:1 (ratio x median = $14,007,840 found in the proxy); quote: ""the event of retirement during the award period. CEO Pay Ratio We are providing the following information to comply with Item 402(u) of Regulation S-K: For 2025, the annual total compensation of our median employee was $125,070. We calculated the median employee's an"""
AEP,2025,140432.0,"SEC EDGAR DEF 14A (pay ratio disclosure, Item 402(u))",https://www.sec.gov/Archives/edgar/data/4904/000000490426000022/aep-20260318.htm,2026-09-13,"DEF 14A filed 2026-03-18; median pay reconciles with the stated pay ratio 261:1 (ratio x median = $36,652,752 found in the proxy); quote: ""025, had 2025 annual total compensation of $36,601,524, as reflected in the Summary Compensation Table included in this Proxy Statement. The 2025 annual total compensation of our median employee (other than the CEO) was $140,432. The median employee's total compensati"""
AES,2025,76082.0,"SEC EDGAR DEF 14A (pay ratio disclosure, Item 402(u))",https://www.sec.gov/Archives/edgar/data/874761/000087476126000070/aes-20260320.htm,2026-09-13,"DEF 14A filed 2026-03-20; median pay reconciles with the stated pay ratio 120:1 (ratio x median = $9,129,840 found in the proxy); quote: ""ee's annual total compensation are calculated consistent with the disclosure requirements of executive compensation under Item 402(c)(2)(x) of Regulation S-K. In 2025, the median employee's annual total compensation was $76,082, and the total annual compensation of o"""
AFL,2025,63153.0,"SEC EDGAR DEF 14A (pay ratio disclosure, Item 402(u))",https://www.sec.gov/Archives/edgar/data/4977/000162828026019621/afl-20260319.htm,2026-09-13,"DEF 14A filed 2026-03-19; median pay reconciles with the stated pay ratio 149.32:1 (ratio x median = $9,430,006 found in the proxy); quote: ""nnual total compensation of the CEO, as reported in the 2025 Summary Compensation Table included on page 59 , was $25,033,687; and • The annual total compensation of the median employee determined on this same basis was $63,153. Based on this information, the ratio o"""
AIG,2025,93766.0,"SEC EDGAR DEF 14A (pay ratio disclosure, Item 402(u))",https://www.sec.gov/Archives/edgar/data/5272/000000527226000039/aig-20260331.htm,2026-09-13,"DEF 14A filed 2026-03-31; median pay reconciles with the stated pay ratio 346:1 (ratio x median = $32,443,036 found in the proxy); quote: ""ans or programs in which they participated. 96 AIG 2026 PROXY STATEMENT 2025 Executive Compensation Pay Ratio Pay Ratio The 2025 annual total compensation of the median employee identified by us (as described below) was $93,766, and Mr. Zaffino's annualized 2025 tota"""
AIZ,2025,56767.0,"SEC EDGAR DEF 14A (pay ratio disclosure, Item 402(u))",https://www.sec.gov/Archives/edgar/data/1267238/000126723826000018/aiz-20260406.htm,2026-09-13,"DEF 14A filed 2026-04-06; median pay reconciles with the stated pay ratio 268:1 (ratio x median = $15,213,556 found in the proxy); quote: ""our CEO as set forth in the 2025 “Summary Compensation Table” foun d on page 76 . Fo r 2025, we estimate that our CEO to median em ployee pay ratio is 268 to 1, the annual total compensation for the median employee was $56,767 and the annual total compensation for o"""
AJG,2025,59957.0,"SEC EDGAR DEF 14A (pay ratio disclosure, Item 402(u))",https://www.sec.gov/Archives/edgar/data/354190/000035419026000101/ajg-20260323.htm,2026-09-13,"DEF 14A filed 2026-03-23; median pay reconciles with the stated pay ratio 346:1 (ratio x median = $20,745,122 found in the proxy); quote: ""ian compensated of all our other employees who were employed as of December 31, 2025. For 2025, Pat Gallagher's total compensation was $20,745,060 and the annual total compensation of our median compensated employee was $59,957. The ratio between these two amounts wa"""
AKAM,2025,129052.0,"SEC EDGAR DEF 14A (pay ratio disclosure, Item 402(u))",https://www.sec.gov/Archives/edgar/data/1086222/000108622226000042/akam-20260330.htm,2026-09-13,"DEF 14A filed 2026-03-31; median pay reconciles with the stated pay ratio 124:1 (ratio x median = $16,002,448 found in the proxy); quote: ""ief Executive Officer was $15,954,172, as reported in the Summary Compensation Table of this Proxy Statement. The 2025 annual total compensation as determined under Item 402 of Regulation S-K for our median employee was $129,052. Based on the foregoing, our estimate o"""
ALB,2025,71667.0,"SEC EDGAR DEF 14A (pay ratio disclosure, Item 402(u))",https://www.sec.gov/Archives/edgar/data/915913/000091591326000050/alb-20260323.htm,2026-09-13,"DEF 14A filed 2026-03-24; median pay reconciles with the stated pay ratio 216:1 (ratio x median = $15,480,072 found in the proxy); quote: ""cember 31, 2025 (calculated in accordance with Item 402(c)(2)(x) of Regulation S-K) and selected the median employee of this employee subset as our median employee for 2025. That median employee's total compensation was $71,667 for the year ended December 31, 2025 (c"""
ALL,2025,74782.0,"SEC EDGAR DEF 14A (pay ratio disclosure, Item 402(u))",https://www.sec.gov/Archives/edgar/data/899051/000089905126000063/all-20260410.htm,2026-09-13,"DEF 14A filed 2026-04-10; median pay reconciles with the stated pay ratio 306:1 (ratio x median = $22,883,292 found in the proxy); quote: ""ees to the annual total compensation of Mr. Wilson, our CEO. This pay ratio is a reasonable estimate calculated in a manner consistent with SEC rules. For 2025: • The annual total compensation of our median employee was $74,782. • The annual total compensation of our"""
ALLE,2025,71659.0,"SEC EDGAR DEF 14A (pay ratio disclosure, Item 402(u))",https://www.sec.gov/Archives/edgar/data/1579241/000110465926044597/alle-20260604xdef14a.htm,2026-09-13,"DEF 14A filed 2026-04-17; median pay reconciles with the stated pay ratio 128:1 (ratio x median = $9,172,352 found in the proxy); quote: ""Pay Ratio”). In 2025, our CEO's annual total compensation was $9,155,073 as reflected in the 2025 Summary Compensation Table included in this proxy statement. Our median employee's annual total compensation for 2025 was $71,659. As a result, the CEO Pay Ratio for 202"""
AMAT,2025,89744.0,"SEC EDGAR DEF 14A (pay ratio disclosure, Item 402(u))",https://www.sec.gov/Archives/edgar/data/6951/000119312526027307/d71992ddef14a.htm,2026-09-13,"DEF 14A filed 2026-01-28; median pay reconciles with the stated pay ratio 330:1 (ratio x median = $29,615,520 found in the proxy); quote: ""employees (other than the CEO). The fiscal 2025 annual total compensation of our CEO, Mr. Dickerson, was $29,649,352, the fiscal 2025 annual total compensation of our median compensated employee (other than the CEO) was $89,744, and the ratio of these amounts was app"""
AMD,2025,161780.0,"SEC EDGAR DEF 14A (pay ratio disclosure, Item 402(u))",https://www.sec.gov/Archives/edgar/data/2488/000119312526129057/d85856ddef14a.htm,2026-09-13,"DEF 14A filed 2026-03-27; median pay reconciles with the stated pay ratio 341:1 (ratio x median = $55,166,980 found in the proxy); quote: ""able of Contents 2026 NOTICE OF MEETING AND PROXY STATEMENT CHIEF EXECUTIVE OFFICER PAY RATIO For 2025: • the annual total compensation for the median employee of the Company (other than our Chief Executive Officer) was $161,780; and • the annual total compensation of"""
AME,2025,63719.0,"SEC EDGAR DEF 14A (pay ratio disclosure, Item 402(u))",https://www.sec.gov/Archives/edgar/data/1037868/000103786826000062/ame-20260311.htm,2026-09-13,"DEF 14A filed 2026-03-11; median pay reconciles with the stated pay ratio 258:1 (ratio x median = $16,439,502 found in the proxy); quote: ""cers as set forth in the Summary Compensation Table - 2025 on page 36 . The 2025 annual total compensation for our CEO was $16,462,630. The 2025 annual total compensation for our median employee, including overtime, was $63,719. The ratio of our CEO's annual total co"""
AMGN,2025,154123.0,"SEC EDGAR DEF 14A (pay ratio disclosure, Item 402(u))",https://www.sec.gov/Archives/edgar/data/318154/000119312526145588/d13946ddef14a.htm,2026-09-13,"DEF 14A filed 2026-04-07; median pay reconciles with the stated pay ratio 160:1 (ratio x median = $24,659,680 found in the proxy); quote: "". were converted to U.S. dollars using currency exchange rates as of December 31, 2025. No cost-of-living adjustments were made. We then determined the annual total compensation of our median employee for 2025 which was $154,123. As disclosed in the “Summary Compensat"""
AMP,2025,142997.0,"SEC EDGAR DEF 14A (pay ratio disclosure, Item 402(u))",https://www.sec.gov/Archives/edgar/data/820027/000110465926032725/amp-20260429xdef14a.htm,2026-09-13,"DEF 14A filed 2026-03-20; median pay reconciles with the stated pay ratio 232:1 (ratio x median = $33,175,304 found in the proxy); quote: ""CEO's annual total compensation to the annual total compensation of our median employee was 232:1. When excluding our employees based in India, the median annual total compensation for employees, other than our CEO, was $142,997. The ratio of this employee's compensat"""
AMT,2025,90534.0,"SEC EDGAR DEF 14A (pay ratio disclosure, Item 402(u))",https://www.sec.gov/Archives/edgar/data/1053507/000105350726000088/amt-20260406.htm,2026-09-13,"DEF 14A filed 2026-04-08; median pay reconciles with the stated pay ratio 164:1 (ratio x median = $14,847,576 found in the proxy); quote: ""of our median employee and Steven O. Vondran, our CEO: For 2025, our last completed fiscal year: • The annual total compensation of the employee identified as the median employee of our Company (other than our CEO) was $90,534; and • The annual total compensation of"""
AMZN,2025,40206.0,"SEC EDGAR DEF 14A (pay ratio disclosure, Item 402(u))",https://www.sec.gov/Archives/edgar/data/1018724/000110465926041026/tm261382-1_def14a.htm,2026-09-13,"DEF 14A filed 2026-04-09; median pay reconciles with the stated pay ratio 51:1 (ratio x median = $2,050,506 found in the proxy); quote: ""S OTHER INFORMATION Pay Ratio Disclosure The 2025 annual total compensation of our median compensated employee (identified from all full- and part-time permanent and temporary employees worldwide, excluding our CEO) was $40,206; Mr. Jassy's 2025 annual total compensa"""
ANET,2025,190815.0,"SEC EDGAR DEF 14A (pay ratio disclosure, Item 402(u))",https://www.sec.gov/Archives/edgar/data/1596532/000119312526158942/d66465ddef14a.htm,2026-09-13,"DEF 14A filed 2026-04-16; median pay reconciles with the stated pay ratio 15:1 (ratio x median = $2,862,225 found in the proxy); quote: ""pensation of our employees and the annual total compensation of our CEO: For 2025, our last completed fiscal year: 1. the median of the annual total compensation of all employees of our Company (other than our CEO), was $190,815; and 2. the annual total compensation o"""
AON,2025,89327.0,"SEC EDGAR DEF 14A (pay ratio disclosure, Item 402(u))",https://www.sec.gov/Archives/edgar/data/315293/000119312526187428/aon-20260428.htm,2026-09-13,"DEF 14A filed 2026-04-28; median pay reconciles with the stated pay ratio 826:1 (ratio x median = $73,784,102 found in the proxy); quote: ""of our median employee and the annual total compensation of our Chief Executive Officer, Mr. Case. For 2025, our last completed fiscal year, the median annual total compensation of our employees (excluding Mr. Case) was $89,327, and the annual total compensation of M"""
AOS,2025,44976.0,"SEC EDGAR DEF 14A (pay ratio disclosure, Item 402(u))",https://www.sec.gov/Archives/edgar/data/91142/000119312526089938/d79196ddef14a.htm,2026-09-13,"DEF 14A filed 2026-03-04; median pay reconciles with the stated pay ratio 115:1 (ratio x median = $5,172,240 found in the proxy); quote: ""cutive officer to the median annual total compensation of our employees. For the year ended December 31, 2025: • the median of the annual total compensation of all employees of our company was reasonably estimated to be $44,976; • the annual total compensation of our"""
APA,2025,237527.0,"SEC EDGAR DEF 14A (pay ratio disclosure, Item 402(u))",https://www.sec.gov/Archives/edgar/data/1841666/000119312526149453/apa-20260409.htm,2026-09-13,"DEF 14A filed 2026-04-09; median pay reconciles with the stated pay ratio 56:1 (ratio x median = $13,301,512 found in the proxy); quote: ""the following is a reasonable estimate of the ratio of the annual total compensation of our CEO to the annual total compensation of our median employee. The annual total compensation of our median employee for 2025 was $237,527. As disclosed in the Summary Compensati"""
APD,2025,71545.0,"SEC EDGAR DEF 14A (pay ratio disclosure, Item 402(u))",https://www.sec.gov/Archives/edgar/data/2969/000130817925000643/apd-20251210.htm,2026-09-13,"DEF 14A filed 2025-12-11; median pay reconciles with the stated pay ratio 171:1 (ratio x median = $12,234,195 found in the proxy); quote: ""as there has been no meaningful change in the composition of our employee population or pay design that we believe would significantly impact the pay ratio disclosure. • The median employee annual total compensation was $71,545. • The annual total compensation of our"""
APH,2025,18816.0,"SEC EDGAR DEF 14A (pay ratio disclosure, Item 402(u))",https://www.sec.gov/Archives/edgar/data/820313/000110465926040688/tm261344-1_def14a.htm,2026-09-13,"DEF 14A filed 2026-04-08; median pay reconciles with the stated pay ratio 1188:1 (ratio x median = $22,353,408 found in the proxy); quote: "". 58 TABLE OF CONTENTS For 2025, the total annual compensation (determined in accordance with the summary compensation table rules) of our Median Employee, who was a direct labor employee in one of our China plants, was $18,816 (based on the average US dollar to RMB"""
APP,2025,133808.0,"SEC EDGAR DEF 14A (pay ratio disclosure, Item 402(u))",https://www.sec.gov/Archives/edgar/data/1751008/000175100826000028/app-20260420.htm,2026-09-13,"DEF 14A filed 2026-04-21; median pay reconciles with the stated pay ratio 97:1 (ratio x median = $12,979,376 found in the proxy); quote: ""e was identified, we calculated the median employee's annual total compensation in accordance with the requirements of paragraph (c)(2)(x) of Regulation S-K Item 402 . Our median employee's annual total compensation was $133,808 . Our CEO's annual total compensation a"""
APTV,2025,10162.0,"SEC EDGAR DEF 14A (pay ratio disclosure, Item 402(u))",https://www.sec.gov/Archives/edgar/data/1521332/000119312526108328/aptv-20260311.htm,2026-09-13,"DEF 14A filed 2026-03-16; median pay reconciles with the stated pay ratio 1894:1 (ratio x median = $19,246,828 found in the proxy); quote: ""we calculated annual total compensation for the Median Employee using the same methodology as compensation reported in the 2025 Summary Compensation Table for the CEO. The Median Employee's annual total compensation is $10,162. When compared to our CEO's annual tota"""
