ticker,year,quarter,period_end,revenue_usd,sec_tag,contract_obligations_usd,pct_revenue_federal_contracts
MMM,2008,2,2008-06-30,6739000000,SalesRevenueNet,0.0,0.0
MMM,2008,3,2008-09-30,6558000000,SalesRevenueNet,0.0,0.0
MMM,2009,1,2009-03-31,5089000000,SalesRevenueNet,0.0,0.0
MMM,2009,2,2009-06-30,5719000000,SalesRevenueNet,0.0,0.0
MMM,2009,3,2009-09-30,6193000000,SalesRevenueNet,0.0,0.0
MMM,2009,4,2009-12-31,6122000000,SalesRevenueNet,0.0,0.0
MMM,2010,1,2010-03-31,6348000000,SalesRevenueNet,0.0,0.0
MMM,2010,2,2010-06-30,6731000000,SalesRevenueNet,0.0,0.0
MMM,2010,3,2010-09-30,6874000000,SalesRevenueNet,0.0,0.0
MMM,2010,4,2010-12-31,6709000000,SalesRevenueNet,0.0,0.0
MMM,2011,1,2011-03-31,7311000000,SalesRevenueNet,0.0,0.0
MMM,2011,2,2011-06-30,7680000000,SalesRevenueNet,0.0,0.0
MMM,2011,3,2011-09-30,7531000000,SalesRevenueNet,0.0,0.0
MMM,2011,4,2011-12-31,7089000000,SalesRevenueNet,0.0,0.0
MMM,2012,1,2012-03-31,7486000000,SalesRevenueNet,0.0,0.0
MMM,2012,2,2012-06-30,7534000000,SalesRevenueNet,0.0,0.0
MMM,2012,3,2012-09-30,7497000000,SalesRevenueNet,0.0,0.0
MMM,2012,4,2012-12-31,7387000000,SalesRevenueNet,0.0,0.0
MMM,2013,1,2013-03-31,7634000000,SalesRevenueNet,0.0,0.0
MMM,2013,2,2013-06-30,7752000000,SalesRevenueNet,0.0,0.0
MMM,2013,3,2013-09-30,7916000000,SalesRevenueNet,0.0,0.0
MMM,2013,4,2013-12-31,7569000000,SalesRevenueNet,0.0,0.0
MMM,2014,1,2014-03-31,7831000000,SalesRevenueNet,0.0,0.0
MMM,2014,2,2014-06-30,8134000000,SalesRevenueNet,0.0,0.0
MMM,2014,3,2014-09-30,8137000000,SalesRevenueNet,0.0,0.0
MMM,2014,4,2014-12-31,7719000000,SalesRevenueNet,0.0,0.0
MMM,2015,1,2015-03-31,7578000000,SalesRevenueNet,0.0,0.0
MMM,2015,2,2015-06-30,7686000000,SalesRevenueNet,0.0,0.0
MMM,2015,3,2015-09-30,7712000000,SalesRevenueNet,0.0,0.0
MMM,2015,4,2015-12-31,7298000000,SalesRevenueNet,0.0,0.0
MMM,2016,1,2016-03-31,7409000000,SalesRevenueNet,0.0,0.0
