ticker,year,value,source,source_url,retrieved,note
A,2020,209.22,SEC EDGAR 10-K full-text search,https://www.sec.gov/Archives/edgar/data/1090872/000109087220000020/0001090872-20-000020-index.htm,2026-09-12,"4 materials named in the 10-K: Graphite (Natural), Helium, Tantalum, Tungsten"
A,2021,208.92,SEC EDGAR 10-K full-text search,https://www.sec.gov/Archives/edgar/data/1090872/000109087221000027/0001090872-21-000027-index.htm,2026-09-12,"4 materials named in the 10-K: Graphite (Natural), Helium, Tantalum, Tungsten"
A,2022,96.75,SEC EDGAR 10-K full-text search,https://www.sec.gov/Archives/edgar/data/1090872/000109087222000026/0001090872-22-000026-index.htm,2026-09-12,"2 materials named in the 10-K: Graphite (Natural), Helium"
A,2023,96.56,SEC EDGAR 10-K full-text search,https://www.sec.gov/Archives/edgar/data/1090872/000109087223000020/0001090872-23-000020-index.htm,2026-09-12,"2 materials named in the 10-K: Graphite (Natural), Helium"
A,2024,96.77,SEC EDGAR 10-K full-text search,https://www.sec.gov/Archives/edgar/data/1090872/000109087224000049/0001090872-24-000049-index.htm,2026-09-12,"2 materials named in the 10-K: Graphite (Natural), Helium"
A,2025,96.77,SEC EDGAR 10-K full-text search,https://www.sec.gov/Archives/edgar/data/1090872/000109087225000087/0001090872-25-000087-index.htm,2026-09-12,"2 materials named in the 10-K: Graphite (Natural), Helium"
AAPL,2020,58.76,SEC EDGAR 10-K full-text search,https://www.sec.gov/Archives/edgar/data/320193/000032019320000096/0000320193-20-000096-index.htm,2026-09-12,1 materials named in the 10-K: Silicon
AAPL,2021,58.76,SEC EDGAR 10-K full-text search,https://www.sec.gov/Archives/edgar/data/320193/000032019321000105/0000320193-21-000105-index.htm,2026-09-12,1 materials named in the 10-K: Silicon
AAPL,2022,58.96,SEC EDGAR 10-K full-text search,https://www.sec.gov/Archives/edgar/data/320193/000032019322000108/0000320193-22-000108-index.htm,2026-09-12,1 materials named in the 10-K: Silicon
AAPL,2023,58.58,SEC EDGAR 10-K full-text search,https://www.sec.gov/Archives/edgar/data/320193/000032019323000106/0000320193-23-000106-index.htm,2026-09-12,1 materials named in the 10-K: Silicon
AAPL,2024,58.68,SEC EDGAR 10-K full-text search,https://www.sec.gov/Archives/edgar/data/320193/000032019324000123/0000320193-24-000123-index.htm,2026-09-12,1 materials named in the 10-K: Silicon
AAPL,2025,58.68,SEC EDGAR 10-K full-text search,https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/0000320193-25-000079-index.htm,2026-09-12,1 materials named in the 10-K: Silicon
ABBV,2021,56.0,SEC EDGAR 10-K full-text search,https://www.sec.gov/Archives/edgar/data/1551152/000155115222000007/0001551152-22-000007-index.htm,2026-09-12,1 materials named in the 10-K: Platinum
ABBV,2022,56.67,SEC EDGAR 10-K full-text search,https://www.sec.gov/Archives/edgar/data/1551152/000155115223000011/0001551152-23-000011-index.htm,2026-09-12,1 materials named in the 10-K: Platinum
ABBV,2023,56.8,SEC EDGAR 10-K full-text search,https://www.sec.gov/Archives/edgar/data/1551152/000155115224000011/0001551152-24-000011-index.htm,2026-09-12,1 materials named in the 10-K: Platinum
ABBV,2024,56.83,SEC EDGAR 10-K full-text search,https://www.sec.gov/Archives/edgar/data/1551152/000155115225000020/0001551152-25-000020-index.htm,2026-09-12,1 materials named in the 10-K: Platinum
ABBV,2025,56.83,SEC EDGAR 10-K full-text search,https://www.sec.gov/Archives/edgar/data/1551152/000155115226000008/0001551152-26-000008-index.htm,2026-09-12,1 materials named in the 10-K: Platinum
ACN,2023,58.58,SEC EDGAR 10-K full-text search,https://www.sec.gov/Archives/edgar/data/1467373/000146737323000324/0001467373-23-000324-index.htm,2026-09-12,1 materials named in the 10-K: Silicon
ACN,2024,58.68,SEC EDGAR 10-K full-text search,https://www.sec.gov/Archives/edgar/data/1467373/000146737324000278/0001467373-24-000278-index.htm,2026-09-12,1 materials named in the 10-K: Silicon
ACN,2025,58.68,SEC EDGAR 10-K full-text search,https://www.sec.gov/Archives/edgar/data/1467373/000146737325000217/0001467373-25-000217-index.htm,2026-09-12,1 materials named in the 10-K: Silicon
ADBE,2020,58.76,SEC EDGAR 10-K full-text search,https://www.sec.gov/Archives/edgar/data/796343/000079634321000004/0000796343-21-000004-index.htm,2026-09-12,1 materials named in the 10-K: Silicon
ADBE,2021,58.76,SEC EDGAR 10-K full-text search,https://www.sec.gov/Archives/edgar/data/796343/000079634322000032/0000796343-22-000032-index.htm,2026-09-12,1 materials named in the 10-K: Silicon
ADBE,2022,58.96,SEC EDGAR 10-K full-text search,https://www.sec.gov/Archives/edgar/data/796343/000079634323000007/0000796343-23-000007-index.htm,2026-09-12,1 materials named in the 10-K: Silicon
