case_number,year,name,cik,match,n_defendants,penalty_usd,share_usd
HQ-2020-0001,2024,"Cummins, Inc.",0000026172,name,1,1675000000.0,1675000000.0
04-2010-9036,2016,ANADARKO PETROLEUM CORPORATION,0000797468,subsidiary,10,3367250000.0,336725000.0
06-2011-4881,2016,Anadarko Petroleum Corporation,0000797468,subsidiary,10,3362250000.0,336225000.0
08-2017-0088,2024,Marathon Oil Company,0001163165,subsidiary,1,64500000.0,64500000.0
01-2018-7009,2021,The Home Depot,0000354950,name,1,9609000.0,9609000.0
06-2022-0942,2022,"United Parcel Service, Inc.",0001090727,name,1,5300000.0,5300000.0
06-2021-0906,2021,United Parcel Service,0001090727,name,1,3800000.0,3800000.0
08-2020-0070,2022,DCP Midstream,0001534701,subsidiary,1,3250000.0,3250000.0
02-2024-1215,2024,"AES Puerto Rico, L.P.",0000874761,subsidiary,1,3125000.0,3125000.0
EF-2018-0006,2020,Valero Energy Corporation,0001035002,name,1,2850000.0,2850000.0
08-2012-0001,2016,Tesoro,0001510295,subsidiary,1,2683333.33,2683333.33
06-2018-3402,2022,Packaging Corporation of America,0000075677,name,1,2500000.0,2500000.0
09-2016-3511,2019,Chevron,0000093410,name,1,1930300.0,1930300.0
06-2025-3308,2024,"DCP Operating Company, LP",0001534701,subsidiary,1,1900000.0,1900000.0
07-2022-3395,2021,EQUISTAR CHEMICALS,0001489393,subsidiary,2,3400000.0,1700000.0
07-2019-0252,2021,BNSF Railway Company,0001067983,subsidiary,1,1513750.0,1513750.0
06-2014-3400,2021,Union Carbide Corp,0001751788,subsidiary,2,3000000.0,1500000.0
06-2018-0903,2017,Anadarko Petroleum,0000797468,subsidiary,1,1383164.0,1383164.0
08-2016-0115,2018,PDC ENERGY INC,0000093410,subsidiary,1,1250000.0,1250000.0
EF-2017-0003,2017,"Morgan Stanley Capital Group, Inc.",0000895421,subsidiary,1,1119000.0,1119000.0
08-2013-0039,2019,EXXONMOBIL,0002115436,name,1,1050000.0,1050000.0
02-2017-0002,2024,"Allied Waste Niagara Falls Landfill, LLC",0001060391,subsidiary,1,671000.0,671000.0
08-2015-0045,2016,BNSF RAILWAY COMPANY,0001067983,subsidiary,1,600000.0,600000.0
08-2018-0099,2021,Stericycle,0000823768,subsidiary,1,600000.0,600000.0
04-2022-0208,2022,INTERNATIONAL PAPER COMPANY,0000051434,name,1,587300.0,587300.0
04-2010-9029,2020,"CF INDUSTRIES, INC.",0001324404,name,1,550000.0,550000.0
06-2018-0935,2018,The Dow Chemical Company,0001751788,subsidiary,1,500000.0,500000.0
08-2019-0049,2019,QEP ENERGY COMPANY,0001539838,subsidiary,1,500000.0,500000.0
09-2016-3505,2016,Titanium Metals Corp.,0001067983,subsidiary,1,500000.0,500000.0
06-2022-3300,2022,Occidental Chemical Corporation,0000797468,subsidiary,1,500000.0,500000.0
06-2025-3306,2025,International Paper Company,0000051434,name,1,500000.0,500000.0
