year,facility_id,parent_company_raw,owner_segment,share,facility_co2e_tonnes,ticker,attributed_co2e_tonnes
2018,1000015,TYSON FOODS INC (100%),TYSON FOODS INC,1.0,26683.896,TSN,26683.896
2018,1000016,TYSON FOODS INC (100%),TYSON FOODS INC,1.0,36535.312,TSN,36535.312
2018,1000029,NUCOR CORP (100%),NUCOR CORP,1.0,146394.416,NUE,146394.416
2018,1000031,WASTE MANAGEMENT INC (100%),WASTE MANAGEMENT INC,1.0,115592.156,WM,115592.156
2018,1000034,ARCHER DANIELS MIDLAND CO (100%),ARCHER DANIELS MIDLAND CO,1.0,155623.274,ADM,155623.274
2018,1000035,THE ANDERSONS INC (50%); MARATHON PETROLEUM CO LP (25%); MARATHON PETROLEUM CO LP (25%),MARATHON PETROLEUM CO LP,0.25,186089.1,MPC,46522.275
2018,1000035,THE ANDERSONS INC (50%); MARATHON PETROLEUM CO LP (25%); MARATHON PETROLEUM CO LP (25%),MARATHON PETROLEUM CO LP,0.25,186089.1,MPC,46522.275
2018,1000037,TYSON FOODS INC (100%),TYSON FOODS INC,1.0,50054.46000000001,TSN,50054.46000000001
2018,1000038,TYSON FOODS INC (100%),TYSON FOODS INC,1.0,97206.568,TSN,97206.568
2018,1000040,TYSON FOODS INC (100%),TYSON FOODS INC,1.0,71445.01400000001,TSN,71445.01400000001
2018,1000045,TYSON FOODS INC (100%),TYSON FOODS INC,1.0,78611.972,TSN,78611.972
2018,1000072,LOCKHEED MARTIN CORP (100%),LOCKHEED MARTIN CORP,1.0,22032.768,LMT,22032.768
2018,1000087,NRG ENERGY INC (100%),NRG ENERGY INC,1.0,54800.372,NRG,54800.372
2018,1000096,EXELON CORP (100%),EXELON CORP,1.0,44301.183999999994,EXC,44301.183999999994
2018,1000098,Vistra Energy Corp (100%),Vistra Energy Corp,1.0,428923.56,VST,428923.56
2018,1000099,MARATHON PETROLEUM CO LP (100%),MARATHON PETROLEUM CO LP,1.0,1786203.122,MPC,1786203.122
2018,1000102,NRG ENERGY INC (100%),NRG ENERGY INC,1.0,1008956.412,NRG,1008956.412
2018,1000104,FORD MOTOR CO (100%),FORD MOTOR CO,1.0,33705.524,F,33705.524
2018,1000107,DUKE ENERGY CORP (100%),DUKE ENERGY CORP,1.0,784589.5920000001,DUK,784589.5920000001
