ticker,year,co2e_tonnes,revenue_usd,raw_ratio
A,2018,0.0,4914000000.0,0.0
A,2019,0.0,5163000000.0,0.0
A,2020,0.0,5339000000.0,0.0
A,2021,0.0,6319000000.0,0.0
A,2022,0.0,6848000000.0,0.0
A,2023,0.0,6833000000.0,0.0
AAPL,2018,0.0,265595000000.0,0.0
AAPL,2019,0.0,260174000000.0,0.0
AAPL,2020,0.0,274515000000.0,0.0
AAPL,2021,0.0,365817000000.0,0.0
AAPL,2022,0.0,394328000000.0,0.0
AAPL,2023,0.0,383285000000.0,0.0
ABBV,2018,154504.092,32753000000.0,4.717250083961774
ABBV,2019,154325.934,33266000000.0,4.639149101184393
ABBV,2020,128416.176,45804000000.0,2.803601781503799
ABBV,2021,128081.35,56197000000.0,2.2791492428421445
ABBV,2022,106306.57800000001,58054000000.0,1.8311671547180213
ABBV,2023,99777.824,54318000000.0,1.8369200633307559
ABNB,2019,0.0,4805239000.0,0.0
ABNB,2020,0.0,3378000000.0,0.0
ABNB,2021,0.0,5992000000.0,0.0
ABNB,2022,0.0,8399000000.0,0.0
ABNB,2023,0.0,9917000000.0,0.0
ABT,2018,114188.668,30578000000.0,3.734340637059324
ABT,2019,113542.67199999999,31904000000.0,3.558885155466399
ABT,2020,111891.528,34608000000.0,3.233111650485437
ABT,2021,135897.736,43075000000.0,3.154909715612304
ABT,2022,138440.828,43653000000.0,3.1713932146702404
ABT,2023,134386.892,40109000000.0,3.3505420728514794
ACGL,2018,0.0,5450568000.0,0.0
ACGL,2019,0.0,6925967000.0,0.0
ACGL,2020,0.0,8508509000.0,0.0
ACGL,2021,0.0,9248000000.0,0.0
ACGL,2022,0.0,9613000000.0,0.0
ACGL,2023,0.0,13634000000.0,0.0
ACN,2018,0.0,40992534000.0,0.0
ACN,2019,0.0,43215013000.0,0.0
ACN,2020,0.0,44327039000.0,0.0
ACN,2021,0.0,50533389000.0,0.0
ACN,2022,0.0,61594305000.0,0.0
ACN,2023,0.0,64111745000.0,0.0
ADBE,2018,0.0,9030000000.0,0.0
ADBE,2019,0.0,11171000000.0,0.0
ADBE,2020,0.0,12868000000.0,0.0
ADBE,2021,0.0,15785000000.0,0.0
ADBE,2022,0.0,17606000000.0,0.0
ADBE,2023,0.0,19409000000.0,0.0
ADI,2018,47632.628378999994,6224689000.0,7.652210155238277
ADI,2019,51711.290576,5991065000.0,8.631402025516332
ADI,2020,45912.222379,5603056000.0,8.1941394801337
