cik,symbol,as_of,shares,source,source_url,note
0000001800,ABT,2018-09-30,1756333032.0,SEC XBRL frames dei:EntityCommonStockSharesOutstanding,https://data.sec.gov/api/xbrl/frames/dei/EntityCommonStockSharesOutstanding/shares/CY2018Q3I.json,"accn 0001104659-18-065076, frame CY2018Q3I"
0000001800,ABT,2019-01-31,1756470269.0,SEC XBRL frames dei:EntityCommonStockSharesOutstanding,https://data.sec.gov/api/xbrl/frames/dei/EntityCommonStockSharesOutstanding/shares/CY2018Q4I.json,"accn 0001047469-19-000624, frame CY2018Q4I"
0000001800,ABT,2019-03-31,1764181262.0,SEC XBRL frames dei:EntityCommonStockSharesOutstanding,https://data.sec.gov/api/xbrl/frames/dei/EntityCommonStockSharesOutstanding/shares/CY2019Q1I.json,"accn 0001104659-19-026018, frame CY2019Q1I"
0000001800,ABT,2019-06-30,1767397615.0,SEC XBRL frames dei:EntityCommonStockSharesOutstanding,https://data.sec.gov/api/xbrl/frames/dei/EntityCommonStockSharesOutstanding/shares/CY2019Q2I.json,"accn 0001410578-19-000606, frame CY2019Q2I"
0000001800,ABT,2019-09-30,1768455705.0,SEC XBRL frames dei:EntityCommonStockSharesOutstanding,https://data.sec.gov/api/xbrl/frames/dei/EntityCommonStockSharesOutstanding/shares/CY2019Q3I.json,"accn 0001104659-19-058323, frame CY2019Q3I"
0000001800,ABT,2020-01-31,1763433243.0,SEC XBRL frames dei:EntityCommonStockSharesOutstanding,https://data.sec.gov/api/xbrl/frames/dei/EntityCommonStockSharesOutstanding/shares/CY2019Q4I.json,"accn 0001104659-20-023904, frame CY2019Q4I"
0000001800,ABT,2020-03-31,1768845326.0,SEC XBRL frames dei:EntityCommonStockSharesOutstanding,https://data.sec.gov/api/xbrl/frames/dei/EntityCommonStockSharesOutstanding/shares/CY2020Q1I.json,"accn 0001104659-20-053384, frame CY2020Q1I"
0000001800,ABT,2020-06-30,1770529999.0,SEC XBRL frames dei:EntityCommonStockSharesOutstanding,https://data.sec.gov/api/xbrl/frames/dei/EntityCommonStockSharesOutstanding/shares/CY2020Q2I.json,"accn 0001104659-20-087850, frame CY2020Q2I"
0000001800,ABT,2020-09-30,1772361581.0,SEC XBRL frames dei:EntityCommonStockSharesOutstanding,https://data.sec.gov/api/xbrl/frames/dei/EntityCommonStockSharesOutstanding/shares/CY2020Q3I.json,"accn 0001104659-20-121336, frame CY2020Q3I"
0000001800,ABT,2021-01-31,1771529358.0,SEC XBRL frames dei:EntityCommonStockSharesOutstanding,https://data.sec.gov/api/xbrl/frames/dei/EntityCommonStockSharesOutstanding/shares/CY2020Q4I.json,"accn 0001104659-21-025751, frame CY2020Q4I"
0000001800,ABT,2021-03-31,1776820148.0,SEC XBRL frames dei:EntityCommonStockSharesOutstanding,https://data.sec.gov/api/xbrl/frames/dei/EntityCommonStockSharesOutstanding/shares/CY2021Q1I.json,"accn 0001104659-21-061693, frame CY2021Q1I"
0000001800,ABT,2021-06-30,1772817349.0,SEC XBRL frames dei:EntityCommonStockSharesOutstanding,https://data.sec.gov/api/xbrl/frames/dei/EntityCommonStockSharesOutstanding/shares/CY2021Q2I.json,"accn 0001104659-21-100055, frame CY2021Q2I"
0000001800,ABT,2021-09-30,1768286969.0,SEC XBRL frames dei:EntityCommonStockSharesOutstanding,https://data.sec.gov/api/xbrl/frames/dei/EntityCommonStockSharesOutstanding/shares/CY2021Q3I.json,"accn 0001104659-21-133629, frame CY2021Q3I"
0000001800,ABT,2022-01-31,1763482267.0,SEC XBRL frames dei:EntityCommonStockSharesOutstanding,https://data.sec.gov/api/xbrl/frames/dei/EntityCommonStockSharesOutstanding/shares/CY2021Q4I.json,"accn 0001104659-22-025141, frame CY2021Q4I"
