symbol,date,ratio
AAPL,2020-08-31,4.0
AMCR,2026-01-15,0.2
AMZN,2022-06-06,20.0
ANET,2021-11-18,4.0
ANET,2024-12-04,4.0
APH,2021-03-05,2.0
APH,2024-06-12,2.0
APH,2026-09-03,2.0
AVGO,2024-07-15,10.0
BDX,2022-04-01,1.025
BDX,2026-02-10,1.272
BKNG,2026-04-06,25.0
CMCSA,2026-01-05,1.067
CMG,2024-06-26,50.0
CNC,2019-02-07,2.0
COO,2024-02-20,4.0
CPRT,2022-11-04,2.0
CPRT,2023-08-22,2.0
CRWD,2026-07-02,4.0
CSGP,2021-06-28,10.0
CSX,2021-06-29,3.0
CTAS,2024-09-12,4.0
CVNA,2026-05-08,5.0
DD,2019-04-02,1.487
DD,2019-06-03,0.4725
DD,2025-11-03,2.39
DD,2026-06-24,0.3333333333333333
DECK,2024-09-17,6.0
DELL,2018-12-28,1.806
DELL,2021-11-02,1.973
DHR,2023-10-02,1.128
DTE,2021-07-01,1.175
DXCM,2022-06-13,4.0
ECHO,2019-09-11,1.234
ETR,2024-12-13,2.0
EW,2020-06-01,3.0
EXC,2022-02-02,1.402
FAST,2019-05-23,2.0
FAST,2025-05-22,2.0
FDX,2026-06-01,1.241
FLEX,2024-01-03,1.327
FTNT,2022-06-23,5.0
FTV,2020-10-09,1.195
FTV,2025-06-30,1.327
GE,2019-02-26,1.04
GE,2021-08-02,0.125
GE,2023-01-04,1.281
GE,2024-04-02,1.253
GOOG,2022-07-18,20.0
GOOGL,2022-07-18,20.0
HON,2025-10-30,1.061
HON,2026-06-29,0.9535
HSIC,2019-02-08,1.275
IBKR,2025-06-18,4.0
IBM,2021-11-04,1.046
IP,2021-10-01,1.056
ISRG,2021-10-05,3.0
J,2024-09-30,1.197
J,2025-05-16,1.01
KLAC,2026-06-12,10.0
LEN,2025-01-21,1.033
LH,2023-07-03,1.164
LRCX,2024-10-03,10.0
MCHP,2021-10-13,2.0
MKC,2020-12-01,2.0
MMM,2024-04-01,1.196
MNST,2023-03-28,2.0
MNST,2026-08-11,2.0
MRK,2021-06-03,1.048
NDAQ,2022-08-29,3.0
NEE,2020-10-27,4.0
NFLX,2025-11-17,10.0
NOW,2025-12-18,5.0
NVDA,2021-07-20,4.0
NVDA,2024-06-10,10.0
O,2021-11-15,1.032
ODFL,2020-03-25,1.5
ODFL,2024-03-28,2.0
ORLY,2025-06-10,15.0
PANW,2022-09-14,3.0
PANW,2024-12-16,2.0
PCAR,2023-02-08,1.5
PFE,2020-11-17,1.054
RJF,2021-09-22,1.5
ROL,2018-12-11,1.5
ROL,2020-12-11,1.5
RTX,2020-04-03,1.589
SHW,2021-04-01,3.0
SMCI,2024-10-01,10.0
SPGI,2026-07-01,1.057
SRE,2023-08-22,2.0
T,2022-04-11,1.324
TECH,2022-11-30,4.0
TPL,2024-03-27,3.0
TPL,2025-12-23,3.0
TSCO,2024-12-20,5.0
TSLA,2020-08-31,5.0
TSLA,2022-08-25,3.0
TT,2020-03-02,1.289
TTD,2021-06-17,10.0
WDC,2025-02-24,1.323
WMT,2024-02-26,3.0
WRB,2019-04-03,1.5
WRB,2022-03-24,1.5
WRB,2024-07-11,1.5
WSM,2024-07-09,2.0
ZBH,2022-03-01,1.03
