ticker,year,value,source,source_url,retrieved,note
A,2025,155.0,SEC EDGAR DEF 14A,https://www.sec.gov/Archives/edgar/data/1090872/000119312526040286/a-20260203.htm,2026-09-12,"DEF 14A filed 2026-02-06, fiscal year end 1031; quote: ""total compensation for fiscal year 2025 was $12,827,236. Based on these compensation amounts, our estimate of the ratio of the annual total compensation of CEO to the annual total compensation of our median employee was 155 to 1. As of October 31, 2025, Agilent had em"""
AAPL,2025,533.0,SEC EDGAR DEF 14A,https://www.sec.gov/Archives/edgar/data/320193/000130817926000008/aapl014016-def14a.htm,2026-09-12,"DEF 14A filed 2026-01-08, fiscal year end 0926; quote: ""pensation Table-2025, 2024, and 2023.” The 2025 annual total compensation of our CEO was $74,294,811, the 2025 annual total compensation of our median compensated employee was $139,483, and the ratio of these amounts is 533 to 1. The compensation included in the pay r"""
ABBV,2025,192.0,SEC EDGAR DEF 14A,https://www.sec.gov/Archives/edgar/data/1551152/000110465926033387/abbv-20260508xdef14a.htm,2026-09-12,"DEF 14A filed 2026-03-23, fiscal year end 1231; quote: ""-K. The ratio of Mr. Michael's annual total compensation for 2025, as reported in the Summary Compensation Table of this proxy statement, to the median employee annual total compensation determined on the same basis was 192:1. For 2025, the annual total compensatio"""
ABNB,2025,1.03,SEC EDGAR DEF 14A,https://www.sec.gov/Archives/edgar/data/1559720/000119312526175062/d936646ddef14a.htm,2026-09-12,"DEF 14A filed 2026-04-24, fiscal year end 1231; quote: ""year ended December 31, 2025. Chief Executive Officer total annual compensation $ 242,122 Median Employee total annual compensation $ 235,416 Ratio of Chief Executive Officer to Median Employee total annual compensation 1 to 0.97 This pay ratio is a reasonable estimate"""
ABT,2025,166.0,SEC EDGAR DEF 14A,https://www.sec.gov/Archives/edgar/data/1800/000130817926000064/abt-20260311.htm,2026-09-12,"DEF 14A filed 2026-03-13, fiscal year end 1231; quote: ""e cost of medical and dental benefits ($16,795) in the calculation of annual total compensation for the median employee and CEO. The annual total compensation of our median employee was $145,528, resulting in a ratio of 166:1. The above ratio and annual total compe"""
ACGL,2025,105.0,SEC EDGAR DEF 14A,https://www.sec.gov/Archives/edgar/data/947484/000094748426000038/acgl-20260324.htm,2026-09-12,"DEF 14A filed 2026-03-24, fiscal year end 1231; quote: ""g our global employee population (excluding the CEO) as of December 31, 2025 . Our global employee population included all of our full-time and part-time employees who were employed on December 31, 2025 . CEO Pay Ratio- 105 to 1 We determined each employee's consisten"""
ACN,2025,460.0,SEC EDGAR DEF 14A,https://www.sec.gov/Archives/edgar/data/1467373/000130817925000651/acn-20251210.htm,2026-09-12,"DEF 14A filed 2025-12-12, fiscal year end 0831; quote: ""median employee is located in India, with annual total compensation for fiscal 2025 of $64,379. Comparing this to the annual total compensation of our chair and chief executive officer of $29,641,903, our pay ratio was 460:1. Without the cost-of-living adjustment,""; other candidate numbers in the proxy: 1304"
ADI,2025,534.0,SEC EDGAR DEF 14A,https://www.sec.gov/Archives/edgar/data/6281/000000628126000010/adi-20260122.htm,2026-09-12,"DEF 14A filed 2026-01-23, fiscal year end 1031; quote: ""“Total” column of the Summary Compensation Table. Based on this information, the ratio of the annual total compensation of our CEO to the median of the annual total compensation of all other employees was approximately 534 to 1. 68 Executive Compensation Pay Versus P"""
ADM,2025,280.0,SEC EDGAR DEF 14A,https://www.sec.gov/Archives/edgar/data/7084/000119312526126218/d911479ddef14a.htm,2026-09-12,"DEF 14A filed 2026-03-26, fiscal year end 1231; quote: ""annual total compensation of our Board Chair and CEO for fiscal year 2025 was $23,886,978. The ratio between the Board Chair and CEO's annual total compensation to the annual total compensation of our median employee is 280:1. We determined our median employee for""; other candidate numbers in the proxy: 220"
ADP,2025,284.0,SEC EDGAR DEF 14A,https://www.sec.gov/Archives/edgar/data/8670/000130817925000607/adp014341-def14a.htm,2026-09-12,"DEF 14A filed 2025-09-25, fiscal year end 0630; quote: ""ation to disclose the annual compensation of our CEO, Ms. Black, compared to the annual compensation of the median associate of our workforce (not including Ms. Black). For fiscal year 2025, an estimate of this ratio is 284:1, and is based on Ms. Black's 2025 Summa"""
ADSK,2026,203.5,SEC EDGAR DEF 14A,https://www.sec.gov/Archives/edgar/data/769397/000076939726000030/adsk-20260429.htm,2026-09-12,"DEF 14A filed 2026-05-06, fiscal year end 0131; quote: ""ing our CEO). The fiscal year 2026 annual total compensation of our CEO was $30,091,165. The fiscal year 2026 annual total compensation of our median compensated employee was $147,841, and the ratio of these amounts was 203.5 to 1. To identify the median employee, we ex"""
AEE,2025,112.0,SEC EDGAR DEF 14A,https://www.sec.gov/Archives/edgar/data/1002910/000110465926037756/tm261401-1_def14a.htm,2026-09-12,"DEF 14A filed 2026-03-31, fiscal year end 1231; quote: ""ange in pension value, and other elements of pay, such as 401(k) employer match, as applicable. The annual total compensation of our CEO was $14,056,510 and the ratio of our CEO's compensation to the median employee was 112 to 1. The pay ratio disclosed is a reasonabl"""
AEP,2025,261.0,SEC EDGAR DEF 14A,https://www.sec.gov/Archives/edgar/data/4904/000000490426000022/aep-20260318.htm,2026-09-12,"DEF 14A filed 2026-03-18, fiscal year end 1231; quote: ""to the retirement savings plan. Based on the foregoing, our 81 estimate of the 2025 ratio of the annual total compensation of our CEO to the median annual total compensation of all our employees (other than the CEO) was 261 to 1. The SEC rules for identifying the medi"""
AES,2025,120.0,SEC EDGAR DEF 14A,https://www.sec.gov/Archives/edgar/data/874761/000087476126000070/aes-20260320.htm,2026-09-12,"DEF 14A filed 2026-03-20, fiscal year end 1231; quote: ""l compensation was $76,082, and the total annual compensation of our CEO was $ 9,153,896 . The ratio of the total annual compensation of our CEO to the total annual compensation of our median employee for fiscal 2025 is 120:1. The Company has not made any of the ad"""
AFL,2025,396.0,SEC EDGAR DEF 14A,https://www.sec.gov/Archives/edgar/data/4977/000162828026019621/afl-20260319.htm,2026-09-12,"DEF 14A filed 2026-03-19, fiscal year end 1231; quote: ""employee determined on this same basis was $63,153. Based on this information, the ratio of the annual total compensation of our Chief Executive Officer to the median of the annual total compensation of all employees is 396 to 1. To identify the annual total compensat"""
AIG,2025,346.0,SEC EDGAR DEF 14A,https://www.sec.gov/Archives/edgar/data/5272/000000527226000039/aig-20260331.htm,2026-09-12,"DEF 14A filed 2026-03-31, fiscal year end 1231; quote: ""identified by us (as described below) was $93,766, and Mr. Zaffino's annualized 2025 total compensation for his role as Chief Executive Officer during 2025 was $32,460,049. Accordingly, our estimated 2025 pay ratio was 1 to 346. As permitted by SEC rules, to identify"""
AIZ,2025,268.0,SEC EDGAR DEF 14A,https://www.sec.gov/Archives/edgar/data/1267238/000126723826000018/aiz-20260406.htm,2026-09-12,"DEF 14A filed 2026-04-06, fiscal year end 1231; quote: ""ompensation for such employee using the same methodology we used for our CEO as set forth in the 2025 “Summary Compensation Table” foun d on page 76 . Fo r 2025, we estimate that our CEO to median em ployee pay ratio is 268 to 1, the annual total compensation for the"""
AJG,2025,346.0,SEC EDGAR DEF 14A,https://www.sec.gov/Archives/edgar/data/354190/000035419026000101/ajg-20260323.htm,2026-09-12,"DEF 14A filed 2026-03-23, fiscal year end 1231; quote: ""re employed as of December 31, 2025. For 2025, Pat Gallagher's total compensation was $20,745,060 and the annual total compensation of our median compensated employee was $59,957. The ratio between these two amounts was 346 to 1. This pay ratio is a reasonable estimat"""
AKAM,2025,124.0,SEC EDGAR DEF 14A,https://www.sec.gov/Archives/edgar/data/1086222/000108622226000042/akam-20260330.htm,2026-09-12,"DEF 14A filed 2026-03-31, fiscal year end 1231; quote: ""S-K for our median employee was $129,052. Based on the foregoing, our estimate of the ratio of our CEO's annual total compensation to our median employee's annual total compensation for fiscal year 2025 is approximately 124 to 1. / 77 / Table of Contents Securities Au"""
ALB,2025,216.0,SEC EDGAR DEF 14A,https://www.sec.gov/Archives/edgar/data/915913/000091591326000050/alb-20260323.htm,2026-09-12,"DEF 14A filed 2026-03-24, fiscal year end 1231; quote: ""al annualized compensation for our CEO for the year ended December 31, 2025 was $15,513,654. Accordingly, for the year ended December 31, 2025, the ratio of our CEO's total compensation to that of our median employee is 216:1. The ratio is reflective of the majorit"""
ALGN,2025,610.0,SEC EDGAR DEF 14A,https://www.sec.gov/Archives/edgar/data/1097149/000109714926000023/algn-20260407.htm,2026-09-12,"DEF 14A filed 2026-04-07, fiscal year end 1231; quote: ""co in 2025 as calculated using Summary Compensation Table requirements was $31,454. Our CEO's compensation as reported in the Summary Compensation Table was 19,193,988. Therefore, our CEO to median employee pay ratio is 610 to 1. This information is being provided for"""
ALL,2025,306.0,SEC EDGAR DEF 14A,https://www.sec.gov/Archives/edgar/data/899051/000089905126000063/all-20260410.htm,2026-09-12,"DEF 14A filed 2026-04-10, fiscal year end 1231; quote: "". • The annual total compensation of our CEO, as reported in the Summary Compensation Table in this Proxy Statement, was $22,920,898. • The ratio of the annual total compensation of Mr. Wilson to our median employee was 306:1. We followed SEC permitted rules to cal"""
ALLE,2025,128.0,SEC EDGAR DEF 14A,https://www.sec.gov/Archives/edgar/data/1579241/000110465926044597/alle-20260604xdef14a.htm,2026-09-12,"DEF 14A filed 2026-04-17, fiscal year end 1231; quote: ""tion was $9,155,073 as reflected in the 2025 Summary Compensation Table included in this proxy statement. Our median employee's annual total compensation for 2025 was $71,659. As a result, the CEO Pay Ratio for 2025 was 128 to 1. 71 Table of Contents We identified our"""
AMAT,2025,330.0,SEC EDGAR DEF 14A,https://www.sec.gov/Archives/edgar/data/6951/000119312526027307/d71992ddef14a.htm,2026-09-12,"DEF 14A filed 2026-01-28, fiscal year end 1026; quote: ""al compensation of our CEO, Mr. Dickerson, was $29,649,352, the fiscal 2025 annual total compensation of our median compensated employee (other than the CEO) was $89,744, and the ratio of these amounts was approximately 330 to 1. This pay ratio is a reasonable estimat"""
