ticker,year,value,source,source_url,retrieved,note
A,2025,1,"SEC EDGAR 10-K, Item 1 Human Capital Resources",https://www.sec.gov/Archives/edgar/data/1090872/000109087225000087/a-20251031.htm,2026-09-12,"heading ""Human Capital""; headcount: ""Management As of October 31, 2025, we employed approximately 18,100 persons, of whom approximately 7,100 were based in the Americas, 4,"""
AAPL,2025,1,"SEC EDGAR 10-K, Item 1 Human Capital Resources",https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/aapl-20250927.htm,2026-09-12,"heading ""Human Capital""; headcount: ""As of September 27, 2025, the Company had approximately 166,000 full-time equivalent employees."""
ABBV,2025,1,"SEC EDGAR 10-K, Item 1 Human Capital Resources",https://www.sec.gov/Archives/edgar/data/1551152/000155115226000008/abbv-20251231.htm,2026-09-12,"heading ""Employees""; headcount: ""AbbVie employed approximately 57,000 employees in over 70 countries as of December 31, 2025."""
ABNB,2025,1,"SEC EDGAR 10-K, Item 1 Human Capital Resources",https://www.sec.gov/Archives/edgar/data/1559720/000155972026000004/abnb-20251231.htm,2026-09-12,"heading ""Our Human Capital""; headcount: ""As of December 31, 2025, we had approximately 8,200 employees."""
ABT,2025,2,"SEC EDGAR 10-K, Item 1 Human Capital Resources",https://www.sec.gov/Archives/edgar/data/1800/000162828026010185/abt-20251231.htm,2026-09-12,"heading ""Human Capital""; headcount: ""As of December 31, 2025, Abbott employed approximately 115,000 people, 69% of whom were employed outside of the U."" | representation_pct: ""Women represented 47% of Abbott's U."""
ACGL,2025,1,"SEC EDGAR 10-K, Item 1 Human Capital Resources",https://www.sec.gov/Archives/edgar/data/947484/000094748426000017/acgl-20251231.htm,2026-09-12,"heading ""HUMAN CAPITAL""; headcount: ""As of February 19, 2026, we had approximately 8,000 employees globally, compared to around 7,200 last year, which directl"""
ACN,2025,2,"SEC EDGAR 10-K, Item 1 Human Capital Resources",https://www.sec.gov/Archives/edgar/data/1467373/000146737325000217/acn-20250831.htm,2026-09-12,"heading ""People Metrics""; headcount: ""Our workforce, the majority of which serves our clients, increased to approximately 779,000 as of August 31, 2025, compared to approximately 774,000 as of August 31, 2024."" | turnover_retention: ""Utilization Workforce Voluntary Attrition 92% 779,000+ 14% consistent with fiscal 2024 compared to approx"""
ADBE,2025,4,"SEC EDGAR 10-K, Item 1 Human Capital Resources",https://www.sec.gov/Archives/edgar/data/796343/000079634326000003/adbe-20251128.htm,2026-09-12,"heading ""HUMAN CAPITAL""; engagement_score: ""In fiscal 2025, 78% of our employees participated in our most recent engagement survey."" | headcount: ""As of November 28, 2025, we employed 31,360 people, of which 50% were in the United States and 50% were in our"" | training: ""Through Adobe's Learning Fund, employees are eligible to receive up to $11,000 per year toward university and short-term learning opportuni"" | turnover_retention: ""During fiscal 2025, our total attrition rate was 9.9%."""
ADI,2025,3,"SEC EDGAR 10-K, Item 1 Human Capital Resources",https://www.sec.gov/Archives/edgar/data/6281/000000628125000153/adi-20251101.htm,2026-09-12,"heading ""Human Capital""; headcount: ""As of November 1, 2025, we had approximately 24,500 employees, of whom approximately 13,000 are in engineering roles."" | representation_pct: ""Approximately 60% of our workforce is male and 40% female."" | turnover_retention: ""For fiscal 2025, our voluntary employee turnover rate was approximately 7.2%."""
ADM,2025,0,"SEC EDGAR 10-K, Item 1 Human Capital Resources",https://www.sec.gov/Archives/edgar/data/7084/000000708426000011/adm-20251231.htm,2026-09-12,"heading ""Human Capital""; section found, no quantified disclosure type in it"
ADP,2026,1,"SEC EDGAR 10-K, Item 1 Human Capital Resources",https://www.sec.gov/Archives/edgar/data/8670/000000867026000030/adp-20260630.htm,2026-09-12,"heading ""OUR PEOPLE""; headcount: ""Our Associates As of June 30, 2026, our global team of associates consisted of approximately 67,000 persons."""
ADSK,2026,1,"SEC EDGAR 10-K, Item 1 Human Capital Resources",https://www.sec.gov/Archives/edgar/data/769397/000076939726000015/adsk-20260131.htm,2026-09-12,"heading ""TALENT AND HUMAN CAPITAL MANAGEMENT""; headcount: ""As of January 31, 2026, we employed approximately 14,300 people, a decrease from approximately 15,300 employees as of the e"""
AEE,2025,2,"SEC EDGAR 10-K, Item 1 Human Capital Resources",https://www.sec.gov/Archives/edgar/data/1002910/000100291026000009/aee-20251231.htm,2026-09-12,"heading ""HUMAN CAPITAL""; turnover_retention: ""Our workforce has been stable, with a total attrition rate of 6% in 2025."" | union_coverage: ""As of December 31, 2025, these labor unions collectively represented 46%, 58%, 54%, and 10% of the employees at Ameren, Ameren Missouri, Ameren Illinoi"""
AEP,2025,2,"SEC EDGAR 10-K, Item 1 Human Capital Resources",https://www.sec.gov/Archives/edgar/data/4904/000000490426000013/aep-20251231.htm,2026-09-12,"heading ""HUMAN CAPITAL""; safety: ""Safety Metric 2025 2024 DART 0.436 0."" | union_coverage: ""(b) Approximately 24% of AEP's total workforce was represented by labor unions."""
AES,2025,1,"SEC EDGAR 10-K, Item 1 Human Capital Resources",https://www.sec.gov/Archives/edgar/data/874761/000087476126000063/aes-20251231.htm,2026-09-12,"heading ""Human Capital""; union_coverage: ""locations were subject to collective bargaining agreements, representing approximately 48% of the non-U."""
