ticker,year,value,source,source_url,retrieved,note
A,2016,0.7364,SEC XBRL frames (cash flow statement),https://data.sec.gov/api/xbrl/frames/us-gaap/NetCashProvidedByUsedInOperatingActivities/USD/CY2016.json,2026-09-12,buybacks $0.43bn + dividends $0.15bn / OCF $0.79bn (fiscal period 2015-11-01..2016-10-31)
A,2017,0.4094,SEC XBRL frames (cash flow statement),https://data.sec.gov/api/xbrl/frames/us-gaap/NetCashProvidedByUsedInOperatingActivities/USD/CY2017.json,2026-09-12,buybacks $0.19bn + dividends $0.17bn / OCF $0.89bn (fiscal period 2016-11-01..2017-10-31)
A,2018,0.5639,SEC XBRL frames (cash flow statement),https://data.sec.gov/api/xbrl/frames/us-gaap/NetCashProvidedByUsedInOperatingActivities/USD/CY2018.json,2026-09-12,buybacks $0.42bn + dividends $0.19bn / OCF $1.09bn (fiscal period 2017-11-01..2018-10-31)
A,2019,0.9099,SEC XBRL frames (cash flow statement),https://data.sec.gov/api/xbrl/frames/us-gaap/NetCashProvidedByUsedInOperatingActivities/USD/CY2019.json,2026-09-12,buybacks $0.72bn + dividends $0.21bn / OCF $1.02bn (fiscal period 2018-11-01..2019-10-31)
A,2020,0.7503,SEC XBRL frames (cash flow statement),https://data.sec.gov/api/xbrl/frames/us-gaap/NetCashProvidedByUsedInOperatingActivities/USD/CY2020.json,2026-09-12,buybacks $0.47bn + dividends $0.22bn / OCF $0.92bn (fiscal period 2019-11-01..2020-10-31)
A,2021,0.6896,SEC XBRL frames (cash flow statement),https://data.sec.gov/api/xbrl/frames/us-gaap/NetCashProvidedByUsedInOperatingActivities/USD/CY2021.json,2026-09-12,buybacks $0.79bn + dividends $0.24bn / OCF $1.49bn (fiscal period 2020-11-01..2021-10-31)
A,2022,1.0587,SEC XBRL frames (cash flow statement),https://data.sec.gov/api/xbrl/frames/us-gaap/NetCashProvidedByUsedInOperatingActivities/USD/CY2022.json,2026-09-12,buybacks $1.14bn + dividends $0.25bn / OCF $1.31bn (fiscal period 2021-11-01..2022-10-31)
A,2023,0.474,SEC XBRL frames (cash flow statement),https://data.sec.gov/api/xbrl/frames/us-gaap/NetCashProvidedByUsedInOperatingActivities/USD/CY2023.json,2026-09-12,buybacks $0.57bn + dividends $0.27bn / OCF $1.77bn (fiscal period 2022-11-01..2023-10-31)
A,2024,0.8132,SEC XBRL frames (cash flow statement),https://data.sec.gov/api/xbrl/frames/us-gaap/NetCashProvidedByUsedInOperatingActivities/USD/CY2024.json,2026-09-12,buybacks $1.15bn + dividends $0.27bn / OCF $1.75bn (fiscal period 2023-11-01..2024-10-31)
A,2025,0.4535,SEC XBRL frames (cash flow statement),https://data.sec.gov/api/xbrl/frames/us-gaap/NetCashProvidedByUsedInOperatingActivities/USD/CY2025.json,2026-09-12,buybacks $0.42bn + dividends $0.28bn / OCF $1.56bn (fiscal period 2024-11-01..2025-10-31)
AAPL,2016,0.6294,SEC XBRL frames (cash flow statement),https://data.sec.gov/api/xbrl/frames/us-gaap/NetCashProvidedByUsedInOperatingActivities/USD/CY2016.json,2026-09-12,buybacks $29.72bn + dividends $11.96bn / OCF $66.23bn (fiscal period 2015-09-27..2016-09-24)
AAPL,2017,0.7079,SEC XBRL frames (cash flow statement),https://data.sec.gov/api/xbrl/frames/us-gaap/NetCashProvidedByUsedInOperatingActivities/USD/CY2017.json,2026-09-12,buybacks $32.90bn + dividends $12.56bn / OCF $64.22bn (fiscal period 2016-09-25..2017-09-30)
AAPL,2018,1.1164,SEC XBRL frames (cash flow statement),https://data.sec.gov/api/xbrl/frames/us-gaap/NetCashProvidedByUsedInOperatingActivities/USD/CY2018.json,2026-09-12,buybacks $72.74bn + dividends $13.71bn / OCF $77.43bn (fiscal period 2017-10-01..2018-09-29)
AAPL,2019,1.1675,SEC XBRL frames (cash flow statement),https://data.sec.gov/api/xbrl/frames/us-gaap/NetCashProvidedByUsedInOperatingActivities/USD/CY2019.json,2026-09-12,buybacks $66.90bn + dividends $14.12bn / OCF $69.39bn (fiscal period 2018-09-30..2019-09-28)
AAPL,2020,1.0715,SEC XBRL frames (cash flow statement),https://data.sec.gov/api/xbrl/frames/us-gaap/NetCashProvidedByUsedInOperatingActivities/USD/CY2020.json,2026-09-12,buybacks $72.36bn + dividends $14.08bn / OCF $80.67bn (fiscal period 2019-09-29..2020-09-26)
AAPL,2021,0.9654,SEC XBRL frames (cash flow statement),https://data.sec.gov/api/xbrl/frames/us-gaap/NetCashProvidedByUsedInOperatingActivities/USD/CY2021.json,2026-09-12,buybacks $85.97bn + dividends $14.47bn / OCF $104.04bn (fiscal period 2020-09-27..2021-09-25)
AAPL,2022,0.8534,SEC XBRL frames (cash flow statement),https://data.sec.gov/api/xbrl/frames/us-gaap/NetCashProvidedByUsedInOperatingActivities/USD/CY2022.json,2026-09-12,buybacks $89.40bn + dividends $14.84bn / OCF $122.15bn (fiscal period 2021-09-26..2022-09-24)
AAPL,2023,0.8375,SEC XBRL frames (cash flow statement),https://data.sec.gov/api/xbrl/frames/us-gaap/NetCashProvidedByUsedInOperatingActivities/USD/CY2023.json,2026-09-12,buybacks $77.55bn + dividends $15.03bn / OCF $110.54bn (fiscal period 2022-09-25..2023-09-30)
AAPL,2024,0.9317,SEC XBRL frames (cash flow statement),https://data.sec.gov/api/xbrl/frames/us-gaap/NetCashProvidedByUsedInOperatingActivities/USD/CY2024.json,2026-09-12,buybacks $94.95bn + dividends $15.23bn / OCF $118.25bn (fiscal period 2023-10-01..2024-09-28)
AAPL,2025,0.952,SEC XBRL frames (cash flow statement),https://data.sec.gov/api/xbrl/frames/us-gaap/NetCashProvidedByUsedInOperatingActivities/USD/CY2025.json,2026-09-12,buybacks $90.71bn + dividends $15.42bn / OCF $111.48bn (fiscal period 2024-09-29..2025-09-27)
