ticker,year,value,source,source_url,retrieved,note
A,2022,0.715,OSHA ITA Form 300A summary data,https://www.osha.gov/sites/default/files/ITA-data-cy2022.zip,2026-09-12,"34 recordable cases (10 days-away, 10 restricted) / 9516000 hours at 19 establishments, 4758 avg employees; matched by ein 17, sec name 2, ex-21 subsidiary 0; sites listed in social/raw/osha_establishments.csv"
A,2023,1.029,OSHA ITA Form 300A summary data,https://www.osha.gov/sites/default/files/ITA_300A_Summary_Data_2023_through_12-31-2024.zip,2026-09-12,"49 recordable cases (16 days-away, 19 restricted) / 9520000 hours at 17 establishments, 4759 avg employees; matched by ein 16, sec name 1, ex-21 subsidiary 0; sites listed in social/raw/osha_establishments.csv"
A,2024,0.869,OSHA ITA Form 300A summary data,https://www.osha.gov/sites/default/files/ITA_300A_Summary_Data_2024_through_12-31-2025.zip,2026-09-12,"36 recordable cases (18 days-away, 6 restricted) / 8282000 hours at 15 establishments, 4141 avg employees; matched by ein 14, sec name 1, ex-21 subsidiary 0; sites listed in social/raw/osha_establishments.csv"
AAPL,2022,4.888,OSHA ITA Form 300A summary data,https://www.osha.gov/sites/default/files/ITA-data-cy2022.zip,2026-09-12,"24 recordable cases (21 days-away, 2 restricted) / 982000 hours at 11 establishments, 491 avg employees; matched by ein 11, sec name 0, ex-21 subsidiary 0; sites listed in social/raw/osha_establishments.csv"
AAPL,2023,0.768,OSHA ITA Form 300A summary data,https://www.osha.gov/sites/default/files/ITA_300A_Summary_Data_2023_through_12-31-2024.zip,2026-09-12,"7 recordable cases (3 days-away, 2 restricted) / 1824000 hours at 16 establishments, 912 avg employees; matched by ein 0, sec name 16, ex-21 subsidiary 0; sites listed in social/raw/osha_establishments.csv"
ABBV,2022,0.587,OSHA ITA Form 300A summary data,https://www.osha.gov/sites/default/files/ITA-data-cy2022.zip,2026-09-12,"40 recordable cases (6 days-away, 17 restricted) / 13628463 hours at 12 establishments, 6480 avg employees; matched by ein 1, sec name 11, ex-21 subsidiary 0; sites listed in social/raw/osha_establishments.csv"
ABBV,2023,0.21,OSHA ITA Form 300A summary data,https://www.osha.gov/sites/default/files/ITA_300A_Summary_Data_2023_through_12-31-2024.zip,2026-09-12,"81 recordable cases (28 days-away, 7 restricted) / 77303043 hours at 10 establishments, 38038 avg employees; matched by ein 2, sec name 8, ex-21 subsidiary 0; sites listed in social/raw/osha_establishments.csv"
ABBV,2024,0.229,OSHA ITA Form 300A summary data,https://www.osha.gov/sites/default/files/ITA_300A_Summary_Data_2024_through_12-31-2025.zip,2026-09-12,"72 recordable cases (20 days-away, 16 restricted) / 62887640 hours at 19 establishments, 31281 avg employees; matched by ein 1, sec name 18, ex-21 subsidiary 0; sites listed in social/raw/osha_establishments.csv"
ABT,2022,0.539,OSHA ITA Form 300A summary data,https://www.osha.gov/sites/default/files/ITA-data-cy2022.zip,2026-09-12,"112 recordable cases (33 days-away, 48 restricted) / 41593393 hours at 20 establishments, 20770 avg employees; matched by ein 15, sec name 2, ex-21 subsidiary 3; sites listed in social/raw/osha_establishments.csv"
ABT,2023,0.489,OSHA ITA Form 300A summary data,https://www.osha.gov/sites/default/files/ITA_300A_Summary_Data_2023_through_12-31-2024.zip,2026-09-12,"73 recordable cases (27 days-away, 14 restricted) / 29826813 hours at 13 establishments, 14495 avg employees; matched by ein 13, sec name 0, ex-21 subsidiary 0; sites listed in social/raw/osha_establishments.csv"
ABT,2024,0.594,OSHA ITA Form 300A summary data,https://www.osha.gov/sites/default/files/ITA_300A_Summary_Data_2024_through_12-31-2025.zip,2026-09-12,"85 recordable cases (23 days-away, 31 restricted) / 28615101 hours at 13 establishments, 13722 avg employees; matched by ein 12, sec name 0, ex-21 subsidiary 1; sites listed in social/raw/osha_establishments.csv"
ADI,2022,0.646,OSHA ITA Form 300A summary data,https://www.osha.gov/sites/default/files/ITA-data-cy2022.zip,2026-09-12,"36 recordable cases (20 days-away, 5 restricted) / 11137563 hours at 24 establishments, 5563 avg employees; matched by ein 18, sec name 6, ex-21 subsidiary 0; sites listed in social/raw/osha_establishments.csv"
ADI,2023,0.514,OSHA ITA Form 300A summary data,https://www.osha.gov/sites/default/files/ITA_300A_Summary_Data_2023_through_12-31-2024.zip,2026-09-12,"35 recordable cases (21 days-away, 5 restricted) / 13608566 hours at 27 establishments, 6851 avg employees; matched by ein 10, sec name 17, ex-21 subsidiary 0; sites listed in social/raw/osha_establishments.csv"
ADI,2024,0.574,OSHA ITA Form 300A summary data,https://www.osha.gov/sites/default/files/ITA_300A_Summary_Data_2024_through_12-31-2025.zip,2026-09-12,"32 recordable cases (19 days-away, 4 restricted) / 11158435 hours at 21 establishments, 6326 avg employees; matched by ein 7, sec name 14, ex-21 subsidiary 0; sites listed in social/raw/osha_establishments.csv"
ADM,2022,1.34,OSHA ITA Form 300A summary data,https://www.osha.gov/sites/default/files/ITA-data-cy2022.zip,2026-09-12,"222 recordable cases (46 days-away, 88 restricted) / 33133044 hours at 351 establishments, 15381 avg employees; matched by ein 177, sec name 1, ex-21 subsidiary 173; sites listed in social/raw/osha_establishments.csv"
ADM,2023,1.071,OSHA ITA Form 300A summary data,https://www.osha.gov/sites/default/files/ITA_300A_Summary_Data_2023_through_12-31-2024.zip,2026-09-12,"156 recordable cases (44 days-away, 42 restricted) / 29135100 hours at 146 establishments, 14035 avg employees; matched by ein 74, sec name 1, ex-21 subsidiary 71; sites listed in social/raw/osha_establishments.csv"
ADM,2024,1.117,OSHA ITA Form 300A summary data,https://www.osha.gov/sites/default/files/ITA_300A_Summary_Data_2024_through_12-31-2025.zip,2026-09-12,"187 recordable cases (40 days-away, 51 restricted) / 33475681 hours at 152 establishments, 15389 avg employees; matched by ein 73, sec name 3, ex-21 subsidiary 76; sites listed in social/raw/osha_establishments.csv"
ADP,2022,0.235,OSHA ITA Form 300A summary data,https://www.osha.gov/sites/default/files/ITA-data-cy2022.zip,2026-09-12,"55 recordable cases (2 days-away, 0 restricted) / 46807299 hours at 100 establishments, 33959 avg employees; matched by ein 0, sec name 100, ex-21 subsidiary 0; sites listed in social/raw/osha_establishments.csv"
ADP,2023,0.315,OSHA ITA Form 300A summary data,https://www.osha.gov/sites/default/files/ITA_300A_Summary_Data_2023_through_12-31-2024.zip,2026-09-12,"73 recordable cases (5 days-away, 0 restricted) / 46390265 hours at 110 establishments, 33786 avg employees; matched by ein 0, sec name 110, ex-21 subsidiary 0; sites listed in social/raw/osha_establishments.csv"
ADP,2024,0.339,OSHA ITA Form 300A summary data,https://www.osha.gov/sites/default/files/ITA_300A_Summary_Data_2024_through_12-31-2025.zip,2026-09-12,"75 recordable cases (8 days-away, 0 restricted) / 44196290 hours at 106 establishments, 35048 avg employees; matched by ein 0, sec name 106, ex-21 subsidiary 0; sites listed in social/raw/osha_establishments.csv"
AEE,2022,1.032,OSHA ITA Form 300A summary data,https://www.osha.gov/sites/default/files/ITA-data-cy2022.zip,2026-09-12,"3 recordable cases (2 days-away, 1 restricted) / 581327 hours at 4 establishments, 289 avg employees; matched by ein 0, sec name 0, ex-21 subsidiary 4; sites listed in social/raw/osha_establishments.csv"
