ticker,data_status,n_committees,committee_ids,n_transactions,unresolved_cycles,evidence
A,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
AAPL,unresolved,0,,0,,FEC committee master has: apple for people; apple party; apple pie
ABBV,downloaded,1,C00536573,2775,,"1 matched committee(s), 2775 transactions"
ABNB,unresolved,0,,0,,FEC committee master has: airbnb; airbnb pac airbnb pac
ABT,downloaded,1,C00040279,2612,,"1 matched committee(s), 2612 transactions"
ACGL,downloaded,1,C00433912,60,,"1 matched committee(s), 60 transactions"
ACN,downloaded,1,C00300707,573,,"1 matched committee(s), 573 transactions"
ADBE,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
ADI,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
ADM,downloaded,1,C00093963,789,,"1 matched committee(s), 789 transactions"
ADP,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
ADSK,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
AEE,downloaded,1,C00206136,1160,,"1 matched committee(s), 1160 transactions"
AEP,downloaded,1,C00096842,814,,"1 matched committee(s), 814 transactions"
AES,downloaded,2,C00102947|C00507962,986,,"2 matched committee(s), 986 transactions"
AFL,downloaded,1,C00034157,5108,,"1 matched committee(s), 5108 transactions"
AIG,downloaded,2,C00097725|C00617944,124,,"2 matched committee(s), 124 transactions"
AIZ,downloaded,1,C00185694,377,,"1 matched committee(s), 377 transactions"
AJG,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
AKAM,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
ALB,downloaded,1,C00377333,34,,"1 matched committee(s), 34 transactions"
ALGN,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
ALL,downloaded,1,C00040253,1377,,"1 matched committee(s), 1377 transactions"
ALLE,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
AMAT,downloaded,1,C00406892,314,,"1 matched committee(s), 314 transactions"
AMCR,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
AMD,downloaded,1,C00404483,73,,"1 matched committee(s), 73 transactions"
AME,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
AMGN,downloaded,1,C00251876,3886,,"1 matched committee(s), 3886 transactions"
AMP,downloaded,1,C00414474,1198,,"1 matched committee(s), 1198 transactions"
AMT,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
AMZN,downloaded,1,C00360354,3982,,"1 matched committee(s), 3982 transactions"
ANET,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
AON,downloaded,1,C00211250,322,,"1 matched committee(s), 322 transactions"
AOS,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
APA,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
APD,downloaded,1,C00127258,147,,"1 matched committee(s), 147 transactions"
APH,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
APO,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
APP,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
APTV,downloaded,1,C00346130,28,,"1 matched committee(s), 28 transactions"
