committee_id,quarter,disbursement_type,recipient_party,admin_committee_id,amount_usd,n_transactions
C00007070,2015Q1,24K,DEM,,1000.0,1
C00007070,2015Q1,24K,REP,,6500.0,5
C00007070,2015Q2,24K,DEM,,5000.0,4
C00007070,2015Q2,24K,REP,,19000.0,14
C00007070,2015Q3,24K,DEM,,10500.0,8
C00007070,2015Q3,24K,REP,,11500.0,8
C00007070,2015Q4,24K,DEM,,4000.0,4
C00007070,2015Q4,24K,LIB,,1000.0,1
C00007070,2015Q4,24K,REP,,12500.0,14
C00007070,2015Q4,24K,UNK,,2000.0,1
C00007070,2016Q1,24K,,,3000.0,3
C00007070,2016Q1,24K,DEM,,6000.0,5
C00007070,2016Q1,24K,IND,,2500.0,1
C00007070,2016Q1,24K,REP,,11000.0,9
C00007070,2016Q2,24K,DEM,,11000.0,11
C00007070,2016Q2,24K,REP,,3500.0,3
C00007070,2016Q3,24K,DEM,,13500.0,12
C00007070,2016Q3,24K,REP,,13000.0,13
C00007070,2016Q4,24K,DEM,,5500.0,7
C00007070,2016Q4,24K,REP,,1000.0,1
C00007070,2017Q1,24K,,,13000.0,5
C00007070,2017Q1,24K,DEM,,9000.0,9
C00007070,2017Q1,24K,IND,,2500.0,1
C00007070,2017Q1,24K,REP,,11500.0,11
C00007070,2017Q2,24K,DEM,,8000.0,8
C00007070,2017Q2,24K,REP,,21000.0,14
C00007070,2017Q3,24K,DEM,,6500.0,5
C00007070,2017Q3,24K,REP,,6000.0,6
C00007070,2017Q4,24K,DEM,,4500.0,5
C00007070,2017Q4,24K,REP,,13000.0,11
C00007070,2018Q1,24K,DEM,,2000.0,2
C00007070,2018Q1,24K,IND,,5500.0,2
C00007070,2018Q1,24K,REP,,4000.0,4
C00007070,2018Q2,24K,,,6000.0,2
C00007070,2018Q2,24K,DEM,,5000.0,5
C00007070,2018Q2,24K,REP,,5000.0,5
C00007070,2018Q3,24K,,,5000.0,1
C00007070,2018Q3,24K,DEM,,12500.0,11
C00007070,2018Q3,24K,REP,,18000.0,16
C00007070,2018Q3,24K,UNK,,1000.0,1
C00007070,2018Q4,24K,DEM,,1000.0,1
C00007070,2019Q2,24K,DEM,,5000.0,5
C00007070,2019Q2,24K,REP,,25000.0,23
C00007070,2019Q2,24K,UNK,,1000.0,1
C00007070,2019Q3,24K,DEM,,8000.0,8
C00007070,2019Q3,24K,REP,,6000.0,6
C00007070,2019Q4,24K,,,5000.0,1
C00007070,2019Q4,24K,DEM,,9000.0,8
C00007070,2019Q4,24K,REP,,5000.0,5
C00007070,2020Q1,24K,,,5000.0,1
C00007070,2020Q1,24K,DEM,,3000.0,3
C00007070,2020Q1,24K,IND,,1000.0,1
C00007070,2020Q1,24K,REP,,5000.0,3
C00007070,2020Q2,24K,DEM,,4000.0,5
C00007070,2020Q2,24K,REP,,4000.0,2
C00007070,2020Q3,24K,DEM,,20000.0,12
C00007070,2020Q3,24K,IND,,1000.0,1
C00007070,2020Q3,24K,REP,,20500.0,11
C00007070,2020Q4,24K,,,5500.0,4
C00007070,2020Q4,24K,DEM,,3000.0,3
C00007070,2020Q4,24K,REP,,3000.0,2
C00007070,2021Q1,24K,DEM,,2000.0,1
C00007070,2021Q2,24K,DEM,,20000.0,15
C00007070,2021Q2,24K,REP,,16000.0,10
C00007070,2021Q3,24K,DEM,,8000.0,4
C00007070,2021Q3,24K,REP,,6000.0,3
C00007070,2021Q4,24K,DEM,,9000.0,6
C00007070,2021Q4,24K,NNE,,3000.0,1
C00007070,2021Q4,24K,REP,,11000.0,7
C00007070,2022Q1,24K,DEM,,3000.0,2
C00007070,2022Q1,24K,REP,,2000.0,1
C00007070,2022Q2,24K,DEM,,19000.0,13
C00007070,2022Q2,24K,IND,,5000.0,2
C00007070,2022Q2,24K,REP,,15500.0,10
C00007070,2022Q3,24K,DEM,,7500.0,5
C00007070,2022Q3,24K,IND,,1000.0,1
C00007070,2022Q3,24K,REP,,4000.0,3
C00007070,2022Q4,24K,,,4500.0,1
C00007070,2022Q4,24K,DEM,,17000.0,9
C00007070,2022Q4,24K,REP,,14500.0,8
C00007070,2023Q1,24K,,,1000.0,1
C00007070,2023Q1,24K,DEM,,-2000.0,1
C00007070,2023Q1,24K,IND,,2500.0,2
C00007070,2023Q1,24K,REP,,2000.0,1
C00007070,2023Q2,24K,DEM,,3500.0,5
C00007070,2023Q2,24K,IND,,2500.0,1
C00007070,2023Q2,24K,REP,,6500.0,4
C00007070,2023Q3,24K,,,4000.0,1
C00007070,2023Q3,24K,DEM,,13500.0,9
C00007070,2023Q3,24K,REP,,10500.0,8
C00007070,2023Q4,24K,DEM,,9500.0,7
C00007070,2023Q4,24K,REP,,11000.0,11
C00007070,2024Q1,24K,DEM,,1000.0,1
C00007070,2024Q1,24K,REP,,3000.0,2
C00007070,2024Q2,24K,DEM,,13000.0,10
C00007070,2024Q2,24K,IND,,2000.0,2
C00007070,2024Q2,24K,REP,,13500.0,9
C00007070,2024Q3,24K,DEM,,10500.0,6
C00007070,2024Q3,24K,REP,,19500.0,11
C00007070,2025Q2,24K,DEM,,5500.0,4
C00007070,2025Q2,24K,REP,,13500.0,9
C00007070,2025Q3,24K,DEM,,2000.0,2
C00007070,2025Q3,24K,REP,,1000.0,1
C00007070,2025Q4,24K,DEM,,7000.0,6
C00007070,2025Q4,24K,REP,,8000.0,5
C00007070,2026Q1,24K,REP,,8500.0,7
C00007070,2026Q2,24K,DEM,,2000.0,2
C00007070,2026Q2,24K,REP,,7500.0,2
C00007070,2026Q3,24K,DEM,,1000.0,1
C00007070,2026Q3,24K,REP,,-5000.0,1
C00007948,2015Q1,24K,DEM,,6500.0,4
C00007948,2015Q1,24K,DEM,C00000935,5000.0,1
C00007948,2015Q1,24K,DEM,C00042366,5000.0,1
C00007948,2015Q1,24K,REP,,14000.0,8
C00007948,2015Q1,24K,REP,C00027466,5000.0,1
C00007948,2015Q1,24K,REP,C00075820,5000.0,1
C00007948,2015Q2,24K,,,8500.0,4
C00007948,2015Q2,24K,DEM,,10000.0,5
C00007948,2015Q2,24K,NNE,,1000.0,1
C00007948,2015Q2,24K,REP,,34000.0,20
C00007948,2015Q3,24K,,,7500.0,3
C00007948,2015Q3,24K,DEM,,25500.0,11
C00007948,2015Q3,24K,REP,,22000.0,12
C00007948,2015Q4,24K,,,2500.0,1
C00007948,2015Q4,24K,DEM,,10500.0,6
C00007948,2015Q4,24K,REP,,14000.0,10
C00007948,2016Q1,18G,,,6118.0,1
C00007948,2016Q1,24K,,,2500.0,1
C00007948,2016Q1,24K,DEM,,16000.0,9
C00007948,2016Q1,24K,REP,,35000.0,14
C00007948,2016Q2,18G,,,9922.0,3
C00007948,2016Q2,24K,,,7500.0,3
C00007948,2016Q2,24K,DEM,,21000.0,13
C00007948,2016Q2,24K,REP,,52500.0,32
C00007948,2016Q3,18G,,,56804.0,2
C00007948,2016Q3,24K,,,2500.0,3
C00007948,2016Q3,24K,DEM,,22000.0,12
C00007948,2016Q3,24K,IND,,2500.0,1
C00007948,2016Q3,24K,REP,,63000.0,34
C00007948,2016Q3,24K,REP,C00075820,7000.0,2
C00007948,2016Q4,24K,,,2500.0,1
C00007948,2016Q4,24K,DEM,C00000935,5000.0,1
C00007948,2016Q4,24K,REP,,4000.0,3
C00007948,2017Q1,24K,DEM,,3500.0,2
C00007948,2017Q1,24K,DEM,C00000935,5000.0,1
C00007948,2017Q1,24K,IND,,2000.0,2
C00007948,2017Q1,24K,REP,,9000.0,6
C00007948,2017Q1,24K,REP,C00075820,5000.0,1
C00007948,2017Q2,24K,,,7500.0,2
C00007948,2017Q2,24K,DEM,,10000.0,7
C00007948,2017Q2,24K,REP,,36500.0,20
C00007948,2017Q3,24K,DEM,,10500.0,8
C00007948,2017Q3,24K,IND,,2000.0,1
C00007948,2017Q3,24K,REP,,41000.0,24
C00007948,2017Q4,24K,,,23000.0,7
C00007948,2017Q4,24K,DEM,,16000.0,10
C00007948,2017Q4,24K,REP,,31000.0,19
C00007948,2018Q1,24K,DEM,,30500.0,20
C00007948,2018Q1,24K,IND,,2500.0,2
C00007948,2018Q1,24K,REP,,37000.0,24
C00007948,2018Q2,24K,,,11500.0,5
C00007948,2018Q2,24K,DEM,,33500.0,19
C00007948,2018Q2,24K,DEM,C00000935,3000.0,3
C00007948,2018Q2,24K,REP,,51000.0,25
C00007948,2018Q2,24K,REP,C00075820,5000.0,1
C00007948,2018Q3,24K,,,6500.0,2
C00007948,2018Q3,24K,DEM,,19500.0,13
C00007948,2018Q3,24K,DEM,C00042366,2500.0,1
C00007948,2018Q3,24K,REP,,42000.0,28
C00007948,2018Q4,24K,DEM,,4000.0,3
C00007948,2018Q4,24K,REP,,2000.0,2
C00007948,2019Q1,24K,,,7500.0,2
C00007948,2019Q1,24K,DEM,,4500.0,5
C00007948,2019Q1,24K,REP,,7500.0,6
C00007948,2019Q1,24K,REP,C00075820,5000.0,1
C00007948,2019Q2,24K,,,7500.0,2
C00007948,2019Q2,24K,DEM,,17000.0,11
C00007948,2019Q2,24K,REP,,24000.0,14
C00007948,2019Q3,24K,,,3500.0,2
C00007948,2019Q3,24K,DEM,,12000.0,6
C00007948,2019Q3,24K,REP,,30000.0,19
C00007948,2019Q4,24K,,,2500.0,1
C00007948,2019Q4,24K,DEM,,12000.0,10
C00007948,2019Q4,24K,REP,,37500.0,23
C00007948,2019Q4,24K,UNK,,2000.0,1
C00007948,2020Q1,24K,,,17000.0,7
C00007948,2020Q1,24K,DEM,,8000.0,5
C00007948,2020Q1,24K,DEM,C00000935,5000.0,1
C00007948,2020Q1,24K,REP,,48000.0,28
C00007948,2020Q1,24K,REP,C00075820,5000.0,1
C00007948,2020Q2,24K,,,-4500.0,4
C00007948,2020Q2,24K,DEM,,7500.0,8
C00007948,2020Q2,24K,REP,,-32500.0,33
C00007948,2020Q2,24K,REP,C00075820,-5000.0,1
C00007948,2020Q3,24K,,,12000.0,3
C00007948,2020Q3,24K,DEM,,33000.0,12
C00007948,2020Q3,24K,REP,,61500.0,25
C00007948,2020Q3,24K,UNK,,4000.0,1
C00007948,2020Q4,24K,,,4500.0,1
C00007948,2020Q4,24K,DEM,,11500.0,7
C00007948,2020Q4,24K,REP,,8500.0,3
C00007948,2020Q4,24K,REP,C00027466,10000.0,1
C00007948,2021Q1,24K,DEM,,-2500.0,1
C00007948,2021Q2,24K,,,5000.0,1
C00007948,2021Q2,24K,DEM,,10000.0,6
C00007948,2021Q2,24K,REP,,7500.0,3
C00007948,2021Q3,24K,,,8000.0,2
C00007948,2021Q3,24K,DEM,,17000.0,9
C00007948,2021Q3,24K,REP,,30500.0,17
C00007948,2021Q4,24K,,,17500.0,4
C00007948,2021Q4,24K,DEM,,13500.0,8
C00007948,2021Q4,24K,REP,,41000.0,20
C00007948,2022Q1,24K,,,2500.0,1
C00007948,2022Q1,24K,DEM,,20000.0,7
C00007948,2022Q1,24K,REP,,24500.0,15
C00007948,2022Q1,24K,UNK,,1000.0,1
C00007948,2022Q2,24K,,,22500.0,5
