ticker,quarter,year,value,source,source_url,retrieved,note
A,2016Q1,2016,0.7364,SEC XBRL frames (cash flow statement),https://data.sec.gov/api/xbrl/frames/us-gaap/NetCashProvidedByUsedInOperatingActivities/USD/CY2016.json,2026-09-12,fiscal-year value held flat across the year's quarters; buybacks $0.43bn + dividends $0.15bn / OCF $0.79bn (fiscal period 2015-11-01..2016-10-31)
A,2016Q2,2016,0.7364,SEC XBRL frames (cash flow statement),https://data.sec.gov/api/xbrl/frames/us-gaap/NetCashProvidedByUsedInOperatingActivities/USD/CY2016.json,2026-09-12,fiscal-year value held flat across the year's quarters; buybacks $0.43bn + dividends $0.15bn / OCF $0.79bn (fiscal period 2015-11-01..2016-10-31)
A,2016Q3,2016,0.7364,SEC XBRL frames (cash flow statement),https://data.sec.gov/api/xbrl/frames/us-gaap/NetCashProvidedByUsedInOperatingActivities/USD/CY2016.json,2026-09-12,fiscal-year value held flat across the year's quarters; buybacks $0.43bn + dividends $0.15bn / OCF $0.79bn (fiscal period 2015-11-01..2016-10-31)
A,2016Q4,2016,0.7364,SEC XBRL frames (cash flow statement),https://data.sec.gov/api/xbrl/frames/us-gaap/NetCashProvidedByUsedInOperatingActivities/USD/CY2016.json,2026-09-12,fiscal-year value held flat across the year's quarters; buybacks $0.43bn + dividends $0.15bn / OCF $0.79bn (fiscal period 2015-11-01..2016-10-31)
AAPL,2016Q1,2016,0.6294,SEC XBRL frames (cash flow statement),https://data.sec.gov/api/xbrl/frames/us-gaap/NetCashProvidedByUsedInOperatingActivities/USD/CY2016.json,2026-09-12,fiscal-year value held flat across the year's quarters; buybacks $29.72bn + dividends $11.96bn / OCF $66.23bn (fiscal period 2015-09-27..2016-09-24)
AAPL,2016Q2,2016,0.6294,SEC XBRL frames (cash flow statement),https://data.sec.gov/api/xbrl/frames/us-gaap/NetCashProvidedByUsedInOperatingActivities/USD/CY2016.json,2026-09-12,fiscal-year value held flat across the year's quarters; buybacks $29.72bn + dividends $11.96bn / OCF $66.23bn (fiscal period 2015-09-27..2016-09-24)
AAPL,2016Q3,2016,0.6294,SEC XBRL frames (cash flow statement),https://data.sec.gov/api/xbrl/frames/us-gaap/NetCashProvidedByUsedInOperatingActivities/USD/CY2016.json,2026-09-12,fiscal-year value held flat across the year's quarters; buybacks $29.72bn + dividends $11.96bn / OCF $66.23bn (fiscal period 2015-09-27..2016-09-24)
AAPL,2016Q4,2016,0.6294,SEC XBRL frames (cash flow statement),https://data.sec.gov/api/xbrl/frames/us-gaap/NetCashProvidedByUsedInOperatingActivities/USD/CY2016.json,2026-09-12,fiscal-year value held flat across the year's quarters; buybacks $29.72bn + dividends $11.96bn / OCF $66.23bn (fiscal period 2015-09-27..2016-09-24)
ABBV,2016Q1,2016,1.3847,SEC XBRL frames (cash flow statement),https://data.sec.gov/api/xbrl/frames/us-gaap/NetCashProvidedByUsedInOperatingActivitiesContinuingOperations/USD/CY2016.json,2026-09-12,fiscal-year value held flat across the year's quarters; buybacks $6.03bn + dividends $3.72bn / OCF $7.04bn (fiscal period 2016-01-01..2016-12-31)
ABBV,2016Q2,2016,1.3847,SEC XBRL frames (cash flow statement),https://data.sec.gov/api/xbrl/frames/us-gaap/NetCashProvidedByUsedInOperatingActivitiesContinuingOperations/USD/CY2016.json,2026-09-12,fiscal-year value held flat across the year's quarters; buybacks $6.03bn + dividends $3.72bn / OCF $7.04bn (fiscal period 2016-01-01..2016-12-31)
