file,url,retrieved_utc,bytes
sp500_constituents.csv,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv,2026-09-12T20:03:22Z,53646
sec_company_tickers.json,https://www.sec.gov/files/company_tickers.json,2026-09-12T20:03:23Z,797931
revenue_frames.csv <- Revenues CY2019,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json,2026-09-12T20:10:00Z,435064
revenue_frames.csv <- Revenues CY2020,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2020.json,2026-09-12T20:10:00Z,422753
revenue_frames.csv <- Revenues CY2021,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2021.json,2026-09-12T20:10:00Z,425188
revenue_frames.csv <- Revenues CY2022,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2022.json,2026-09-12T20:10:01Z,427524
revenue_frames.csv <- Revenues CY2023,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2023.json,2026-09-12T20:10:01Z,409676
revenue_frames.csv <- Revenues CY2024,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2024.json,2026-09-12T20:10:01Z,382559
revenue_frames.csv <- Revenues CY2025,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2025.json,2026-09-12T20:10:02Z,341747
revenue_frames.csv <- RevenueFromContractWithCustomerExcludingAssessedTax CY2019,https://data.sec.gov/api/xbrl/frames/us-gaap/RevenueFromContractWithCustomerExcludingAssessedTax/USD/CY2019.json,2026-09-12T20:10:02Z,467424
revenue_frames.csv <- RevenueFromContractWithCustomerExcludingAssessedTax CY2020,https://data.sec.gov/api/xbrl/frames/us-gaap/RevenueFromContractWithCustomerExcludingAssessedTax/USD/CY2020.json,2026-09-12T20:10:02Z,483833
revenue_frames.csv <- RevenueFromContractWithCustomerExcludingAssessedTax CY2021,https://data.sec.gov/api/xbrl/frames/us-gaap/RevenueFromContractWithCustomerExcludingAssessedTax/USD/CY2021.json,2026-09-12T20:10:03Z,490632
revenue_frames.csv <- RevenueFromContractWithCustomerExcludingAssessedTax CY2022,https://data.sec.gov/api/xbrl/frames/us-gaap/RevenueFromContractWithCustomerExcludingAssessedTax/USD/CY2022.json,2026-09-12T20:10:03Z,493908
revenue_frames.csv <- RevenueFromContractWithCustomerExcludingAssessedTax CY2023,https://data.sec.gov/api/xbrl/frames/us-gaap/RevenueFromContractWithCustomerExcludingAssessedTax/USD/CY2023.json,2026-09-12T20:10:04Z,480550
revenue_frames.csv <- RevenueFromContractWithCustomerExcludingAssessedTax CY2024,https://data.sec.gov/api/xbrl/frames/us-gaap/RevenueFromContractWithCustomerExcludingAssessedTax/USD/CY2024.json,2026-09-12T20:10:04Z,453678
revenue_frames.csv <- RevenueFromContractWithCustomerExcludingAssessedTax CY2025,https://data.sec.gov/api/xbrl/frames/us-gaap/RevenueFromContractWithCustomerExcludingAssessedTax/USD/CY2025.json,2026-09-12T20:10:04Z,412650
revenue_frames.csv <- RevenueFromContractWithCustomerIncludingAssessedTax CY2019,https://data.sec.gov/api/xbrl/frames/us-gaap/RevenueFromContractWithCustomerIncludingAssessedTax/USD/CY2019.json,2026-09-12T20:10:05Z,135693
revenue_frames.csv <- RevenueFromContractWithCustomerIncludingAssessedTax CY2020,https://data.sec.gov/api/xbrl/frames/us-gaap/RevenueFromContractWithCustomerIncludingAssessedTax/USD/CY2020.json,2026-09-12T20:10:05Z,128427
revenue_frames.csv <- RevenueFromContractWithCustomerIncludingAssessedTax CY2021,https://data.sec.gov/api/xbrl/frames/us-gaap/RevenueFromContractWithCustomerIncludingAssessedTax/USD/CY2021.json,2026-09-12T20:10:05Z,125410
revenue_frames.csv <- RevenueFromContractWithCustomerIncludingAssessedTax CY2022,https://data.sec.gov/api/xbrl/frames/us-gaap/RevenueFromContractWithCustomerIncludingAssessedTax/USD/CY2022.json,2026-09-12T20:10:06Z,124054
revenue_frames.csv <- RevenueFromContractWithCustomerIncludingAssessedTax CY2023,https://data.sec.gov/api/xbrl/frames/us-gaap/RevenueFromContractWithCustomerIncludingAssessedTax/USD/CY2023.json,2026-09-12T20:10:06Z,119811
revenue_frames.csv <- RevenueFromContractWithCustomerIncludingAssessedTax CY2024,https://data.sec.gov/api/xbrl/frames/us-gaap/RevenueFromContractWithCustomerIncludingAssessedTax/USD/CY2024.json,2026-09-12T20:10:06Z,115398
revenue_frames.csv <- RevenueFromContractWithCustomerIncludingAssessedTax CY2025,https://data.sec.gov/api/xbrl/frames/us-gaap/RevenueFromContractWithCustomerIncludingAssessedTax/USD/CY2025.json,2026-09-12T20:10:07Z,100332
revenue_frames.csv <- SalesRevenueNet CY2019,https://data.sec.gov/api/xbrl/frames/us-gaap/SalesRevenueNet/USD/CY2019.json,2026-09-12T20:10:07Z,481
revenue_frames.csv <- RevenuesNetOfInterestExpense CY2019,https://data.sec.gov/api/xbrl/frames/us-gaap/RevenuesNetOfInterestExpense/USD/CY2019.json,2026-09-12T20:10:09Z,10279
revenue_frames.csv <- RevenuesNetOfInterestExpense CY2020,https://data.sec.gov/api/xbrl/frames/us-gaap/RevenuesNetOfInterestExpense/USD/CY2020.json,2026-09-12T20:10:09Z,11023
revenue_frames.csv <- RevenuesNetOfInterestExpense CY2021,https://data.sec.gov/api/xbrl/frames/us-gaap/RevenuesNetOfInterestExpense/USD/CY2021.json,2026-09-12T20:10:09Z,13275
revenue_frames.csv <- RevenuesNetOfInterestExpense CY2022,https://data.sec.gov/api/xbrl/frames/us-gaap/RevenuesNetOfInterestExpense/USD/CY2022.json,2026-09-12T20:10:10Z,13628
