ticker,cik,accession,period_end,year,employees,quote,url,retrieved
AAPL,0000320193,0000320193-25-000079,2025-09-27,2025,166000,"ace free of harassment or discrimination. As of September 27, 2025, the Company had approximately 166,000 full-time equivalent employees. The Company believes that co",https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/aapl-20250927.htm,2026-09-12
AAPL,0000320193,0000320193-24-000123,2024-09-28,2024,164000,"ople can do the best work of their lives. As of September 28, 2024, the Company had approximately 164,000 full-time equivalent employees. Compensation and Benefits Th",https://www.sec.gov/Archives/edgar/data/320193/000032019324000123/aapl-20240928.htm,2026-09-12
AAPL,0000320193,0000320193-23-000106,2023-09-30,2023,161000,"environment for all of its team members. As of September 30, 2023, the Company had approximately 161,000 full-time equivalent employees. Workplace Practices and Poli",https://www.sec.gov/Archives/edgar/data/320193/000032019323000106/aapl-20230930.htm,2026-09-12
AAPL,0000320193,0000320193-22-000108,2022-09-24,2022,164000,"environment for all of its team members. As of September 24, 2022, the Company had approximately 164,000 full-time equivalent employees. Workplace Practices and Poli",https://www.sec.gov/Archives/edgar/data/320193/000032019322000108/aapl-20220924.htm,2026-09-12
AAPL,0000320193,0000320193-21-000105,2021-09-25,2021,154000,"tinuously building on its strong culture. As of September 25, 2021, the Company had approximately 154,000 full-time equivalent employees. Workplace Practices and Poli",https://www.sec.gov/Archives/edgar/data/320193/000032019321000105/aapl-20210925.htm,2026-09-12
A,0001090872,0001090872-25-000087,2025-10-31,2025,18100,"ufacturers' representatives and electronic commerce. As of October 31, 2025, we employed approximately 18,100 people worldwide. Our primary research and dev",https://www.sec.gov/Archives/edgar/data/1090872/000109087225000087/a-20251031.htm,2026-09-12
A,0001090872,0001090872-24-000049,2024-10-31,2024,17900,"ufacturers' representatives and electronic commerce. As of October 31, 2024, we employed approximately 17,900 people worldwide. Our primary research and dev",https://www.sec.gov/Archives/edgar/data/1090872/000109087224000049/a-20241031.htm,2026-09-12
A,0001090872,0001090872-23-000020,2023-10-31,2023,18100,"ufacturers' representatives and electronic commerce. As of October 31, 2023, we employed approximately 18,100 people worldwide. Our primary research and dev",https://www.sec.gov/Archives/edgar/data/1090872/000109087223000020/a-20231031.htm,2026-09-12
A,0001090872,0001090872-22-000026,2022-10-31,2022,18100,"ufacturers' representatives and electronic commerce. As of October 31, 2022, we employed approximately 18,100 people worldwide. Our primary research and dev",https://www.sec.gov/Archives/edgar/data/1090872/000109087222000026/a-20221031.htm,2026-09-12
A,0001090872,0001090872-21-000027,2021-10-31,2021,17000,"ufacturers' representatives and electronic commerce. As of October 31, 2021, we employed approximately 17,000 people worldwide. Our primary research and dev",https://www.sec.gov/Archives/edgar/data/1090872/000109087221000027/a-20211031.htm,2026-09-12
