tag,year,cik,start,end,val,accn,url
Revenues,2019,2969,2018-10-01,2019-09-30,8918900000,0000002969-21-000055,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,4904,2019-01-01,2019-12-31,15561400000,0000004904-22-000024,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,4977,2019-01-01,2019-12-31,22307000000,0000004977-22-000058,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,5272,2019-01-01,2019-12-31,49746000000,0001104659-22-024701,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,6951,2018-10-29,2019-10-27,14608000000,0000006951-19-000046,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,7084,2019-01-01,2019-12-31,64656000000,0000007084-22-000008,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,8670,2018-07-01,2019-06-30,14110200000,0000008670-21-000027,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,10795,2018-10-01,2019-09-30,17290000000,0000010795-21-000091,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,11544,2019-01-01,2019-12-31,7902196000,0000011544-22-000007,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,12927,2019-01-01,2019-12-31,76559000000,0000012927-22-000010,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,14272,2019-01-01,2019-12-31,26145000000,0000014272-22-000051,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,18230,2019-01-01,2019-12-31,53800000000,0000018230-22-000050,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,19617,2019-01-01,2019-12-31,115720000000,0000019617-22-000272,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,20286,2019-01-01,2019-12-31,7924000000,0000020286-22-000012,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,21344,2019-01-01,2019-12-31,37266000000,0000021344-22-000009,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,24545,2019-01-01,2019-12-31,13009100000,0000024545-21-000004,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,24741,2019-01-01,2019-12-31,11503000000,0001437749-22-003247,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,26172,2019-01-01,2019-12-31,23571000000,0000026172-22-000008,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
